source,target
SP_0310,SP_1014
SP_0249,SP_1014
SP_2024,SP_1014
SP_2022,SP_1014
SP_0248,SP_1014
SP_0305,SP_1014
SP_2023,SP_1014
SP_0250,SP_0351
SP_0250,SP_0355
SP_0250,SP_0352
SP_0250,SP_0353
SP_0308,SP_0351
SP_0308,SP_0355
SP_0308,SP_0352
SP_0308,SP_0353
SP_0474,SP_0351
SP_0474,SP_0355
SP_0474,SP_0352
SP_0474,SP_0353
SP_0310,SP_0351
SP_0310,SP_0355
SP_0310,SP_0352
SP_0310,SP_0353
SP_0249,SP_0351
SP_0249,SP_0355
SP_0249,SP_0352
