source,target
SPT_2174,SPT_0101
SPT_1811,SPT_1809
SPT_1811,SPT_1810
SPT_0329,SPT_0327
SPT_0329,SPT_2176
SPT_0329,SPT_2177
SPT_0329,SPT_0328
SPT_0329,SPT_0100
SPT_0329,SPT_0101
SPT_2253,SPT_0055
SPT_0327,SPT_2176
SPT_0327,SPT_2177
SPT_0327,SPT_0328
SPT_0327,SPT_0100
SPT_0327,SPT_0101
SPT_2176,SPT_2177
SPT_2176,SPT_0328
SPT_2176,SPT_0100
SPT_2176,SPT_0101
SPT_0100,SPT_0101
SPT_1718,SPT_1994
SPT_1718,SPT_1838
SPT_1527,SPT_1528
SPT_0463,SPT_0464
SPT_1446,SPT_1444
SPT_1503,SPT_0817
SPT_0051,SPT_2076
SPT_0051,SPT_1999
SPT_1142,SPT_1585
SPT_0444,SPT_0211
SPT_1133,SPT_0637
SPT_1133,SPT_1019
SPT_1133,SPT_1020
SPT_0410,SPT_1813
SPT_0410,SPT_1811
SPT_0410,SPT_1809
SPT_0410,SPT_1810
SPT_2076,SPT_1999
SPT_1813,SPT_1811
SPT_1813,SPT_1809
SPT_1813,SPT_1810
SPT_0586,SPT_1244
SPT_1809,SPT_1810
SPT_1612,SPT_0412
SPT_1749,SPT_1769
SPT_1843,SPT_0051
SPT_1843,SPT_2076
SPT_1843,SPT_1999
SPT_1367,SPT_1371
SPT_1367,SPT_1361
SPT_0801,SPT_0800
SPT_2078,SPT_2001
SPT_0482,SPT_1190
SPT_0482,SPT_0481
SPT_0482,SPT_1189
SPT_1945,SPT_1127
SPT_1772,SPT_2050
SPT_1772,SPT_0330
SPT_1772,SPT_2021
SPT_0520,SPT_0521
SPT_0520,SPT_0112
SPT_0520,SPT_0111
SPT_2254,SPT_0049
SPT_2254,SPT_1845
SPT_2254,SPT_2078
SPT_2254,SPT_2001
SPT_2050,SPT_0330
SPT_2050,SPT_2021
SPT_0330,SPT_2021
SPT_1740,SPT_1739
SPT_1845,SPT_2078
SPT_1845,SPT_2001
SPT_2017,SPT_0312
SPT_1072,SPT_0476
SPT_1778,SPT_1779
SPT_2063,SPT_1834
SPT_2063,SPT_1990
SPT_0074,SPT_1611
SPT_0049,SPT_1845
SPT_0049,SPT_2078
SPT_0049,SPT_2001
SPT_0778,SPT_1264
