Gene.NewLT,mean_CTRL,Total_CTRL,sd_CTRL,se_CTRL,M_CTRL,mean.EXPT,Total_EXPT,sd_EXPT,se_EXPT,M_EXPT,Value,Df,tstat,pval,Sig,Gene
SPT_RS04615,0.484826003,6,0.532212753,0.217274946,NA,0.524396034,6,0.575167859,0.234811295,NA,-0.039570031,10,0.087527616,0.931980069,FALSE,SPT_0931
SPT_RS04620,0.648738008,37,0.49012592,0.080576205,NA,0.754060778,37,0.440287411,0.072382804,NA,-0.105322769,72,0.688568591,0.493307556,FALSE,SPT_0932
SPT_RS04635,0.506957074,80,0.50221345,0.056149171,NA,0.552256034,80,0.509611062,0.056976249,NA,-0.04529896,158,0.400431308,0.689379779,FALSE,SPT_0935
SPT_RS04640,0.753403239,34,0.469137419,0.080456404,NA,0.684075007,34,0.484346554,0.083064749,NA,0.069328232,66,-0.423971033,0.672965612,FALSE,SPT_0936
SPT_RS04645,0.676741043,37,0.477032386,0.078423641,NA,0.71210515,37,0.472538437,0.077684841,NA,-0.035364107,72,0.226535464,0.821426896,FALSE,SPT_0937
SPT_RS04650,0.451479783,27,0.517111032,0.099518065,NA,0.639386926,27,0.504600715,0.097110453,NA,-0.187907143,52,0.955645426,0.343673217,FALSE,SPT_0938
SPT_RS04655,0.625069323,5,0.570989132,0.255354103,NA,0.573075948,5,0.523468614,0.234102281,NA,0.051993375,8,-0.106226779,0.918017836,FALSE,SPT_0939
SPT_RS04660,0.40612019,5,0.556170172,0.248726862,NA,0.373975122,5,0.512249439,0.229084913,NA,0.032145068,8,-0.067275588,0.948013306,FALSE,SPT_0940
SPT_RS04665,0.660251474,48,0.475472709,0.068628574,NA,0.699816245,48,0.480203155,0.069311355,NA,-0.039564771,94,0.286826094,0.774876757,FALSE,SPT_0941
SPT_RS04670,0.696889958,11,0.452658563,0.136481692,NA,0.630965533,11,0.500316138,0.150850991,NA,0.065924425,20,-0.229435874,0.820860229,FALSE,SPT_0942
SPT_RS04675,0.494271841,28,0.507008446,0.09581559,NA,0.716085922,28,0.473316045,0.089448325,NA,-0.221814081,54,1.197287023,0.236424225,FALSE,SPT_0943
SPT_RS04680,0.584552405,30,0.521731995,0.095254794,NA,0.63670977,30,0.493786551,0.090152677,NA,-0.052157365,58,0.281312098,0.779472227,FALSE,SPT_0944
SPT_RS04685,0.719393349,27,0.489378535,0.094180943,NA,0.608255728,27,0.516787143,0.099455732,NA,0.111137621,52,-0.573949232,0.568476565,FALSE,SPT_0945
SPT_RS04690,0.723275139,14,0.322260691,0.086127793,NA,0.679144833,14,0.292584076,0.078196384,NA,0.044130306,26,-0.268556379,0.790390524,FALSE,SPT_0947
SPT_RS04695,0.813395672,13,0.468586241,0.12996244,NA,0.793572631,13,0.454160865,0.12596156,NA,0.01982304,24,-0.077456746,0.938902339,FALSE,SPT_0948
SPT_RS04700,0.795769529,12,0.407742779,0.117705202,NA,0.805074467,12,0.383456952,0.110694487,NA,-0.009304938,22,0.040739713,0.967870869,FALSE,SPT_0949
SPT_RS04705,0.689678773,19,0.40837656,0.093688008,NA,0.708440072,19,0.440686759,0.101100476,NA,-0.018761299,36,0.096316263,0.923803592,FALSE,SPT_0950
SPT_RS04710,0.463129446,49,0.429656016,0.061379431,NA,0.559773232,49,0.459183809,0.065597687,NA,-0.096643786,96,0.761111827,0.448455834,FALSE,SPT_0951
SPT_RS04715,0.55324322,77,0.424851604,0.048416334,NA,0.59777934,77,0.457537974,0.052141291,NA,-0.04453612,152,0.442891525,0.658473853,FALSE,SPT_0952
SPT_RS04720,0.579429752,16,0.538630492,0.134657623,NA,0.496732438,16,0.515866843,0.128966711,NA,0.082697314,30,-0.313693781,0.755924484,FALSE,SPT_0953
SPT_RS04725,0.546661082,6,0.475874365,0.194274896,NA,0.726800442,6,0.38543247,0.157352147,NA,-0.18013936,10,0.512302348,0.61956325,FALSE,SPT_0954
SPT_RS04730,0.088875598,11,0.29476701,0.088875598,NA,0.093219378,11,0.309173699,0.093219378,NA,-0.00434378,20,0.023854475,0.98120509,FALSE,SPT_0956
SPT_RS04735,0,2,0,0,NA,0,2,0,0,NA,0,2,NA,NA,FALSE,SPT_0957
SPT_RS04740,0,6,0,0,NA,0.163799126,6,0.40122428,0.163799126,NA,-0.163799126,10,1,0.340893132,FALSE,SPT_0958
SPT_RS04745,0.188959295,5,0.42252583,0.188959295,NA,0.139948297,5,0.312933905,0.139948297,NA,0.049010999,8,-0.149011455,0.885232448,FALSE,SPT_0959
SPT_RS04750,0.437664163,3,0.758056567,0.437664163,NA,0.676989813,3,0.594123033,0.343017093,NA,-0.23932565,4,0.306560005,0.774473267,FALSE,SPT_0960
SPT_RS04755,0,4,0,0,NA,0,4,0,0,NA,0,6,NA,NA,FALSE,SPT_0961
SPT_RS04760,0.68761461,13,0.479010247,0.132853539,NA,0.631728902,13,0.522179248,0.144826466,NA,0.055885708,24,-0.201259389,0.842191754,FALSE,SPT_0962
SPT_RS04765,0.486527585,57,0.49677336,0.065799239,NA,0.571562555,57,0.497406219,0.065883063,NA,-0.08503497,112,0.645758535,0.519756597,FALSE,SPT_0964
