"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN210min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC210min.c"
"1845","SP_RS09025",81.1251823608789,0.100884709708402,0.317775552370205,0.317471589478576,0.750885793648107,0.864434377077821,59.3082264737398,108.029979537182,83.8240966453673,89.1395242569725,57.8368550690415,88.6124121829703
"1846","SP_2173",729.754824513711,0.0460412968231476,0.145563969153939,0.316295970017535,0.751777869726982,0.864992521831045,730.338446005196,741.526170221238,752.9332574783,687.647758553788,705.434368645128,760.648946178618
"1847","SP_1682",70.7329327663837,-0.0997911006988892,0.317791402908351,-0.314014475488087,0.753510044595503,0.866516153070302,76.2534340376655,60.832415661714,68.2461671802991,54.4098394815286,93.7658104907188,70.8899297463763
"1848","SP_0405",1167.57346579208,0.0446430527881751,0.143293841152105,0.311548999100295,0.755383299036225,0.867507618999747,1099.74397089878,1332.02013604098,1124.57814614493,1164.60209613655,1133.95288574757,1150.54355978369
"1849","SP_0748",52.9157477258548,0.105860474228561,0.340095182620702,0.311267197061782,0.75559750242445,0.867507618999747,54.2246642045621,52.4417376394086,57.8608808702536,60.1981202774359,40.3105353511502,52.4585480123184
"1850","SP_0927",177.087324045925,0.0724823983084188,0.232847106041246,0.311287520556856,0.755582053498859,0.867507618999747,135.561660511405,206.62044629927,201.029470715881,157.441237648679,176.139513164808,185.731615935506
"1851","SP_1865",569.780357104736,-0.0515346266004086,0.167238110125111,-0.308151213631005,0.757967273116826,0.869420802686627,493.105540110237,569.517270763978,614.215504622692,512.841678517387,622.184349985144,606.817798628981
"1852","SP_2065",374.523821611014,-0.0605508278572615,0.196593775720889,-0.307999719905821,0.758082545468754,0.869420802686627,452.437041956815,315.69926058924,333.812774251463,404.02199955433,410.115881398658,331.055971915577
"1853","SP_0678",153.491325381518,0.0728795253314134,0.237947527505739,0.30628402024331,0.759388404957432,0.869978949368708,159.284951100901,131.104344098522,181.742510425796,135.445770624231,170.881617249441,142.488758790216
"1854","SP_1623",1490.47247778398,0.0416186339253658,0.135765004394279,0.30654905592976,0.759186635129897,0.869978949368708,1601.32211479098,1548.08009511534,1388.66114088609,1523.4755054828,1474.83980426056,1406.45620616811
"1855","SP_0674",594.110609110161,-0.0495919052339192,0.162376046820715,-0.305413921603075,0.760050920095197,0.870060739002286,654.085011967531,574.761444527918,525.198764822302,586.931672705,653.731725477348,569.955035160865
"1856","SP_1227",427.399274347339,-0.0515486106344776,0.1689484974461,-0.305114347944546,0.760279063836272,0.870060739002286,384.656211701113,457.291952215643,416.153258566824,412.1255926686,468.829052453594,425.339578478258
"1857","SP_1346",3.31474798024494,0.226984856245292,0.74845267791935,0.303272154595392,0.761682464941356,0.870728501364608,5.0835622691777,1.04883475278817,5.19264315502276,3.47296847754438,4.38157992947284,0.708899297463763
"1858","SP_1710",578.093135490035,-0.0472012884163301,0.155575799775086,-0.303397369543133,0.761587050065256,0.870728501364608,565.969932635117,581.054453044648,557.838236082445,642.499168345711,547.697491184105,573.499531648184
"1859","SP_0100",60.8355636489669,-0.110870426252956,0.367913009277599,-0.301349567580258,0.763147947034087,0.87193081898174,81.3369963068432,54.539407144985,40.7993390751788,48.6215586856213,89.384230561246,50.3318501199272
"1860","SP_2064",165.519483860986,-0.0763146409904319,0.253692569683521,-0.300815436122681,0.763555236961411,0.87193081898174,147.423305806153,197.180933524176,138.717752855608,137.761082942594,218.202680487748,153.831147549637
"1861","SP_0016",369.012326048497,0.0684003057025332,0.227797238744802,0.300268370588816,0.763972457319708,0.871938473587888,408.379502290609,477.219812518618,250.730483771099,341.508566958531,328.618494710463,407.617096041664
