"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.WT4.NDC240min.c"
"1803","SP_0452",1728.98381854091,0.135740401335521,0.162727544161022,0.834157499490087,0.404192237063372,0.496553413807748,1481.77804394815,1869.03017733723,2082.6505860147,1523.37351350692,1705.57787268662,1711.49271775184
"1804","SP_RS01740",6870.93726844527,-0.127231139311826,0.152661465622485,-0.833420135153518,0.404607822769537,0.496788429841754,5789.31625578215,7106.01226997697,6793.47750845384,8281.56936457723,6270.85838476272,6984.38982711871
"1805","SP_RS07915",194.48258029979,-0.21980768754031,0.264932932731381,-0.829672948825792,0.406723719876998,0.499109717189779,234.06430248353,152.787461305283,153.078718166811,167.949564377316,262.921914308047,196.093521157751
"1806","SP_1823",118.920854209203,0.213845541751872,0.257906258612205,0.829159954871108,0.407013901461213,0.49918925345326,150.065419737424,119.997458194103,115.540306387051,94.6194728886287,128.046386838335,105.256081209675
"1807","SP_RS01495",29.2389531479114,0.386762976851122,0.467188083666603,0.827852829241093,0.407753851770326,0.499820023061025,35.8646915095731,36.9759609551597,28.2756867951434,18.9238945777258,40.9748437882671,14.4186412615993
"1808","SP_1815",332.151702399233,0.147699225702971,0.181308452885682,0.814629562782148,0.415284383189726,0.508769307945378,348.265030711381,376.736205958231,323.220350778966,298.051339599181,356.822597989493,289.814689358146
"1809","SP_1334",3.15005347428586,-0.578494706310256,0.711031939825408,-0.813598762458271,0.415874847084634,0.509211048254541,0,2.09297892199017,3.41258288906903,7.09646046664716,3.41457031568893,2.88372825231986
"1810","SP_0883",34.1035398442379,0.437223133080976,0.538752125390152,0.811547857494481,0.41705112134545,0.510369189933797,42.471345208705,44.9990468227887,33.1508052080991,40.2132759776672,3.41457031568893,40.3721955324781
"1811","SP_0633",15.5232395720383,0.518771377011869,0.63973233350533,0.810919426519102,0.417411943369427,0.510528688328703,10.3818843843501,22.6739383215602,24.3755920647788,21.2893813999415,0,14.4186412615993
"1812","SP_1855",267.626526685339,0.156551056216257,0.194807408562207,0.8036196229481,0.421616686777614,0.515386843936212,273.704224678321,264.064173991094,310.545042905281,222.355761288278,288.531191675714,246.558765573348
