,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC60MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC60MIN.C
119,SPT_0996,1798.243012,1.399659196,0.095926035,-14.59102518,3.20E-48,5.80E-47,960.4890542,1057.273204,938.5498791,2472.995443,2601.281702,2758.868788
120,SPT_0282,29636.37068,-1.410452,0.096743578,14.57928291,3.80E-48,6.83E-47,47741.1488,37718.9646,43910.21474,16436.16699,15949.85226,16061.87666
121,SPT_0779,3997.156759,-1.365319527,0.093757066,14.56231072,4.88E-48,8.69E-47,6077.716452,5925.400625,5294.567639,2358.037605,2242.117807,2085.100427
122,SPT_1084,310.0304964,-2.33770631,0.161871099,14.44177697,2.82E-47,4.99E-46,544.8152198,580.6510466,433.9641753,117.7616878,94.57274161,88.41810721
123,SPT_1153,6740.771963,-1.518817456,0.105843642,14.34963334,1.07E-46,1.88E-45,9537.898448,9569.596316,10921.77291,3716.970097,3721.27799,2977.116015
124,SPT_0067,881.45725,1.675691271,0.116837906,-14.34201736,1.20E-46,2.08E-45,446.3449134,405.5003653,400.1886617,1288.836249,1530.165707,1217.707603
125,SPT_0570,763.3652165,-1.511829342,0.105635655,14.31173349,1.85E-46,3.19E-45,1191.329281,1102.918533,1101.286445,392.5389592,383.6040418,408.5140396
126,SPT_1059,2675.710765,-1.569798546,0.110396063,14.21969687,6.92E-46,1.18E-44,4217.273368,3810.854218,4001.886617,1420.617186,1485.535874,1118.09733
127,SPT_0167,4007.116037,-1.249279259,0.088323581,14.1443456,2.02E-45,3.43E-44,5685.449494,5411.625293,5843.16386,2408.5069,2207.051509,2486.899167
128,SPT_1072,2282.141329,-1.511932419,0.106951298,14.1366439,2.26E-45,3.80E-44,2969.444731,3336.3551,3848.361555,1145.839914,1177.377502,1215.46917
129,SPT_1228,4394.780388,-1.250373777,0.088460525,14.13482201,2.32E-45,3.87E-44,6126.144472,5810.756543,6646.611685,2558.980168,2678.852602,2547.336861
130,SPT_1279,1798.555424,-1.357916851,0.09638638,14.0882649,4.48E-45,7.43E-44,2711.161961,2403.279652,2657.007073,1012.189745,948.9152613,1058.778853
131,SPT_0445,2724.271543,1.452366268,0.103279223,-14.0625212,6.45E-45,1.06E-43,1477.054596,1312.037831,1566.979133,3617.900741,4035.812052,4335.844903
132,SPT_1774,154.5528953,2.779959599,0.198129681,-14.03101029,1.01E-44,1.64E-43,39.54954929,37.15317483,36.84601488,255.1503235,249.7145425,308.9037669
133,SPT_1526,4227.220196,1.288587613,0.091939391,-14.01562051,1.25E-44,2.03E-43,2537.628224,2275.897338,2532.140023,5851.634342,5712.618639,6453.402609
134,SPT_1331,605.2841551,-1.870882457,0.134418936,13.91829541,4.90E-44,7.89E-43,1121.108652,842.8463089,894.5393614,253.2810904,282.6556098,237.2739079
135,SPT_0743,165.5291857,2.575454171,0.185218878,-13.90492267,5.91E-44,9.44E-43,45.1994849,43.52229051,50.15152026,261.6926395,304.9705263,287.6386526
136,SPT_0611,3083.605651,-1.223125474,0.088000185,13.89912387,6.41E-44,1.02E-42,4327.043546,4074.111,4564.811844,1884.187004,1795.819476,1855.661035
137,SPT_0283,17251.55679,-1.329095485,0.095863538,13.86445265,1.04E-43,1.64E-42,23867.74943,23017.98408,27242.51051,9480.750482,9274.504368,10625.8419
138,SPT_0583,5656.459475,-1.301513563,0.094128083,13.82704838,1.75E-43,2.73E-42,7936.545269,7363.759251,8870.678083,3146.85399,3389.742087,3231.178171
139,SPT_1061,2816.309866,-1.74322599,0.126988989,13.7273791,6.96E-43,1.08E-41,3947.690726,4808.682342,4285.396231,1290.705483,1531.228322,1034.156089
140,SPT_0190,425.9212731,1.783775385,0.130283848,-13.69145454,1.14E-42,1.76E-41,205.0119494,201.6886633,162.7365657,639.2777336,643.944735,702.8679915
141,SPT_0807,2402.123536,1.490699508,0.10927029,-13.64231311,2.24E-42,3.43E-41,1263.164176,1083.811186,1417.548073,3340.31962,3477.939138,3829.959024
142,SPT_0089,548.6522578,1.552556606,0.114426826,-13.56811741,6.19E-42,9.39E-41,294.6037855,274.9334937,262.0161058,834.6125967,786.335155,839.4124102
143,SPT_0587,2265.594314,-1.153190267,0.085147993,13.54336404,8.67E-42,1.31E-40,3097.778983,3098.574781,3189.227288,1384.16714,1428.15466,1395.663034
144,SPT_1181,3642.859811,-1.590346605,0.117502201,13.53461122,9.77E-42,1.46E-40,5117.227398,6093.120672,5231.110613,1994.47176,1937.14728,1484.081141
145,SPT_0586,22547.68429,-1.243724038,0.091954082,13.52549019,1.11E-41,1.64E-40,30378.08952,31282.9732,33561.60206,13413.61701,14495.13223,12154.6917
146,SPT_0584,1482.173884,-1.365406035,0.101115228,13.50346586,1.49E-41,2.20E-40,2151.818335,2226.005932,2037.789323,824.3318144,903.2228131,749.8750864
