,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.NDC90MIN.C,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.A,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.B,X.ExpOut.181005_NS500751_0090_AH27TLBGX9.Out.Rep.Bams.19F.VNC90MIN.C
101,SPT_1122,1738.93346,-1.689582782,0.088932042,18.99858305,1.75E-80,3.74E-79,2653.673177,2729.73377,2588.465204,771.7529644,860.1076484,829.8679964
102,SPT_1334,1734.991638,-1.852702904,0.098114636,18.88304314,1.57E-79,3.32E-78,2828.749858,2849.335507,2482.622165,725.98003,711.1504579,812.1118118
103,SPT_0982,2231.417315,-1.558142939,0.082670163,18.84770622,3.07E-79,6.42E-78,3274.469092,3399.101476,3328.026691,1165.613098,1115.737408,1105.556126
104,SPT_0745,1371.468171,2.431649799,0.12902951,-18.8456873,3.19E-79,6.61E-78,449.5418693,359.8102686,466.2452853,2370.612209,1920.106236,2662.493155
105,SPT_RS08125,1318.93118,1.6832069,0.089546401,-18.79703564,7.99E-79,1.64E-77,628.4411846,622.1300455,623.0001656,1969.300668,2030.622861,2040.092158
106,SPT_1899,7184.372191,1.868213208,0.099622548,-18.75291525,1.83E-78,3.73E-77,3074.163021,3478.500949,2674.211464,10603.35349,11413.00383,11863.00039
107,SPT_1050,2256.098572,-1.7270651,0.092553353,18.66021101,1.04E-77,2.10E-76,3718.659272,3462.420043,3223.523438,1022.97186,1110.932337,998.0844821
108,SPT_0191,1616.464686,2.119765628,0.113822856,-18.62337407,2.08E-77,4.14E-76,702.6003025,533.6850633,561.3700417,2830.470527,2403.496345,2667.165835
109,SPT_2013,2791.516028,1.834314196,0.099215871,-18.48811266,2.57E-76,5.09E-75,1190.368521,1333.71013,1128.099225,4226.012784,4046.830511,4824.074997
110,SPT_0985,1275.435553,-1.658823502,0.089953939,18.44081004,6.18E-76,1.21E-74,1949.543821,1953.830062,1913.213412,626.9827532,601.5948468,607.4484208
111,SPT_0135,2855.689127,1.573679243,0.085583479,-18.38765211,1.65E-75,3.20E-74,1530.583031,1383.962961,1379.978862,4330.332495,4116.023528,4393.253886
112,SPT_1159,1319.914726,-2.058644599,0.112051299,18.37234032,2.19E-75,4.21E-74,2019.115777,2226.200405,2151.695196,427.9237127,584.2965924,510.2566735
113,SPT_1059,3017.434919,-1.949072719,0.106518317,18.29800512,8.58E-75,1.64E-73,5107.040284,4804.170626,4485.601193,1275.255243,1388.665421,1043.876748
114,SPT_1255,1539.719983,-1.690157698,0.09300399,18.17295896,8.45E-74,1.60E-72,2295.11002,2534.752786,2229.402743,714.2706746,725.5656698,739.2180013
115,SPT_1224,3186.693162,-1.769289789,0.097716582,18.10634136,2.84E-73,5.32E-72,5533.646343,4756.932965,4505.697972,1534.990034,1399.236577,1389.65508
116,SPT_1660,1466.907711,2.09108272,0.116081202,-18.01396514,1.51E-72,2.81E-71,608.5634829,586.9530639,460.886144,2505.802039,2110.387034,2528.854502
117,SPT_1873,1643.093886,-1.635326257,0.090845356,18.00120916,1.91E-72,3.51E-71,2451.073525,2463.393767,2549.611431,861.1698596,770.7333341,762.5814021
118,SPT_0636,380.7277195,2.744805472,0.152703478,-17.97474099,3.07E-72,5.61E-71,88.68513067,86.434869,120.5806772,679.1426087,585.2576065,724.2654248
119,SPT_1280,1573.370019,-1.724786654,0.095974961,17.97121498,3.27E-72,5.93E-71,2282.877588,2392.034747,2580.426493,776.0109118,731.3317546,677.5386232
120,SPT_1428,5313.682083,-1.423726318,0.079692446,17.86526072,2.20E-71,3.95E-70,7391.446926,8131.913083,7718.503127,2811.309764,2857.095015,2971.824582
121,SPT_1223,1171.348707,-1.819948899,0.101987485,17.84482573,3.17E-71,5.65E-70,1978.595846,1795.031117,1708.226261,523.7275289,479.546052,542.9654346
122,SPT_1129,2358.119144,-1.582668644,0.088911093,17.80057575,6.99E-71,1.24E-69,3708.720422,3497.597025,3409.753595,1140.065414,1125.347549,1267.230859
123,SPT_RS09955,2290.576871,1.472353906,0.082762855,-17.79003291,8.44E-71,1.48E-69,1199.542845,1181.946581,1254.039043,3282.877438,3430.820452,3394.234868
