Gene,Value,padj
Rv2959c,-0.17,0.402
Rv2962c,-0.39,0.136
Rv2964,0.08,0.731
Rv2965c,0.21,0.155
Rv2966c,-0.38,0.261
Rv2967c,-0.21,0.148
Rv2969c,-0.15,0.144
Rv2970c,-0.09,0.521
Rv2971,-0.20,0.183
Rv2976c,-0.49,0.001
Rv2977c,0.13,0.224
Rv2980,-0.61,0.009
Rv2981c,-0.18,0.107
Rv2982c,0.14,0.282
Rv2983,0.18,0.112
Rv2984,-0.03,0.778
Rv2985,0.14,0.478
Rv2986c,0.78,0.423
Rv2987c,-0.72,0.001
Rv2988c,-0.36,0.002
Rv2989,-0.14,0.521
Rv2991,0.06,0.563
Rv2992c,-0.16,0.028
Rv2993c,0.01,0.965
Rv2994,-0.04,0.917
Rv2995c,0.15,0.170
Rv2996c,0.51,0.002
Rv2999,-0.11,0.504
Rv3000,0.41,0.204
Rv3001c,0.02,0.853
Rv3002c,-0.16,0.433
Rv3003c,-0.49,0.005
Rv3005c,-0.67,0.025
Rv3006,-0.21,0.157
Rv3009c,-0.52,0.001
Rv3010c,0.37,0.002
Rv3011c,0.02,0.788
Rv3012c,-0.65,0.021
Rv3013,0.14,0.070
Rv3014c,-0.16,0.213
Rv3015c,0.30,0.067
Rv3024c,-0.63,0.320
Rv3025c,-0.32,0.013
Rv3028c,0.37,0.024
Rv3029c,0.25,0.073
Rv3030,-1.37,0.026
Rv3031,0.14,0.603
Rv3032A,-0.48,0.056
Rv3033,-0.09,0.317
Rv3034c,-0.28,0.218
Rv3035,0.03,0.789
Rv3036c,-1.34,0.000
Rv3038c,-1.70,0.000
Rv3039c,0.18,0.224
Rv3040c,0.14,0.284
Rv3041c,0.19,0.055
Rv3042c,0.22,0.185
Rv3043c,-0.57,0.002
Rv3044,-0.29,0.024
Rv3045,0.09,0.546
Rv3046c,-0.14,0.467
Rv3048c,0.37,0.104
Rv3049c,-0.81,0.005
Rv3050c,0.20,0.155
Rv3051c,0.26,0.023
Rv3052c,-0.59,0.017
Rv3053c,-0.73,0.352
Rv3054c,-0.56,0.057
Rv3055,0.56,0.021
Rv3057c,0.76,0.110
Rv3058c,-0.07,0.689
Rv3059,0.91,0.000
Rv3061c,0.41,0.000
Rv3062,0.21,0.757
Rv3068c,-0.16,0.361
Rv3071,-0.24,0.365
Rv3075c,0.22,0.048
Rv3076,-0.33,0.327
Rv3077,-0.90,0.002
Rv3079c,0.10,0.289
Rv3080c,0.84,0.002
Rv3084,0.90,0.002
Rv3085,0.48,0.024
Rv3086,1.32,0.001
Rv3087,1.45,0.000
Rv3088,1.52,0.000
Rv3089,0.67,0.004
Rv3090,-0.28,0.074
Rv3091,-0.04,0.738
Rv3092c,0.14,0.589
Rv3093c,0.32,0.051
Rv3094c,0.98,0.006
Rv3095,0.06,0.881
Rv3098A,-0.10,0.811
Rv3099c,0.24,0.009
Rv3101c,-0.07,0.772
Rv3102c,-0.35,0.005
Rv3104c,0.12,0.368
Rv3105c,0.03,0.827
Rv3106,-0.40,0.010
Rv3107c,-0.31,0.008
Rv3116,-0.53,0.004
Rv3119,-0.74,0.000
Rv3120,-0.66,0.002
Rv3121,-0.57,0.000
Rv3127,5.25,0.000
Rv3130c,3.42,0.000
Rv3131,4.27,0.000
Rv3132c,2.10,0.000
Rv3133c,3.37,0.000
Rv3134c,3.69,0.000
Rv3136,-0.45,0.120
Rv3137,0.31,0.021
Rv3139,1.09,0.006
Rv3140,1.25,0.000
Rv3141,-0.01,0.950
Rv3142c,-0.24,0.261
Rv3143,-0.06,0.761
Rv3144c,-1.70,0.001
Rv3145,-0.87,0.000
Rv3146,-0.69,0.001
Rv3147,-0.06,0.606
Rv3148,-0.65,0.000
Rv3149,-0.24,0.046
Rv3150,-0.31,0.036
Rv3151,-0.63,0.001
Rv3152,-0.03,0.951
Rv3153,-0.44,0.021
Rv3154,-0.72,0.013
Rv3156,-1.17,0.000
Rv3157,-0.15,0.207
Rv3158,-0.01,0.939
Rv3160c,0.13,0.729
Rv3161c,0.77,0.024
Rv3168,0.16,0.141
Rv3169,0.00,0.986
Rv3173c,-0.06,0.678
Rv3181c,-0.08,0.660
Rv3182,0.03,0.965
Rv3188,0.54,0.021
Rv3190A,-0.76,0.013
Rv3190c,-0.51,0.078
Rv3193c,-0.29,0.060
Rv3194c,-0.26,0.106
Rv3196,3.10,0.000
Rv3196A,-0.44,0.216
Rv3197,-0.31,0.016
Rv3198A,-1.52,0.000
Rv3198c,-0.57,0.012
Rv3199c,0.00,0.989
Rv3200c,0.24,0.033
Rv3203,-0.27,0.054
Rv3205c,0.13,0.124
Rv3206c,0.03,0.809
Rv3207c,-1.29,0.000
Rv3208,-0.60,0.003
Rv3208A,0.29,0.113
Rv3210c,-0.02,0.910
Rv3211,-0.80,0.003
Rv3212,-0.07,0.576
Rv3213c,-0.92,0.001
Rv3214,0.09,0.521
Rv3215,-0.22,0.152
Rv3218,0.11,0.570
Rv3220c,-0.24,0.101
Rv3221A,-0.14,0.458
Rv3223c,-0.26,0.006
Rv3224,0.00,0.985
Rv3225c,-0.53,0.008
Rv3226c,-0.33,0.044
Rv3227,-0.05,0.538
Rv3228,-0.06,0.653
Rv3231c,0.17,0.238
Rv3232c,-0.07,0.641
Rv3237c,0.23,0.250
Rv3240c,0.33,0.009
Rv3241c,1.13,0.000
Rv3244c,0.18,0.361
Rv3245c,0.13,0.288
Rv3246c,0.69,0.002
Rv3247c,0.19,0.095
Rv3248c,0.23,0.051
Rv3249c,-0.15,0.454
Rv3250c,-1.05,0.001
Rv3252c,-0.04,0.896
Rv3254,0.23,0.180
Rv3255c,0.33,0.083
Rv3256c,-0.22,0.143
Rv3257c,0.16,0.088
Rv3259,-0.29,0.334
Rv3260c,-0.57,0.033
Rv3261,0.23,0.082
Rv3262,-0.21,0.021
Rv3264c,-0.04,0.499
Rv3265c,0.32,0.117
Rv3266c,-0.22,0.498
Rv3267,-1.36,0.000
Rv3268,0.23,0.471
Rv3269,0.68,0.039
Rv3270,0.35,0.006
Rv3272,-0.49,0.012
Rv3273,-0.44,0.001
Rv3274c,0.19,0.313
Rv3275c,0.82,0.008
Rv3276c,0.04,0.658
Rv3278c,-0.12,0.485
Rv3279c,-0.10,0.682
Rv3280,-0.47,0.004
Rv3281,-0.43,0.011
Rv3282,-0.33,0.257
Rv3283,0.12,0.339
Rv3284,-0.02,0.934
Rv3285,-0.51,0.000
Rv3286c,-0.05,0.939
Rv3287c,0.59,0.015
Rv3288c,0.38,0.054
Rv3290c,2.96,0.000
Rv3291c,0.43,0.002
Rv3292,0.33,0.002
Rv3293,0.07,0.729
Rv3295,-0.17,0.324
Rv3296,0.06,0.847
Rv3299c,-0.38,0.020
Rv3301c,-0.29,0.144
Rv3302c,-0.15,0.024
Rv3303c,-0.59,0.000
Rv3304,0.03,0.850
Rv3305c,0.06,0.548
Rv3306c,0.60,0.007
Rv3307,0.62,0.003
Rv3309c,0.32,0.014
Rv3310,-0.54,0.000
Rv3311,-0.14,0.281
Rv3312A,-1.31,0.026
Rv3313c,-0.34,0.041
Rv3314c,-0.23,0.240
Rv3315c,0.27,0.132
Rv3317,-0.46,0.391
Rv3318,0.09,0.281
Rv3319,-0.07,0.568
Rv3321c,-0.01,0.981
Rv3328c,-0.06,0.787
Rv3329,-0.16,0.332
Rv3330,-1.27,0.000
Rv3334,0.74,0.000
Rv3336c,-0.19,0.184
Rv3339c,0.25,0.054
Rv3340,0.75,0.000
Rv3341,-0.55,0.049
Rv3342,0.76,0.004
Rv3354,-2.56,0.000
Rv3356c,0.07,0.411
Rv3357,0.46,0.303
Rv3359,0.34,0.410
Rv3360,0.21,0.072
Rv3362c,0.07,0.876
Rv3364c,-0.88,0.005
Rv3365c,-0.86,0.000
Rv3368c,-0.30,0.019
Rv3369,0.28,0.040
Rv3372,0.15,0.360
Rv3373,-1.61,0.000
Rv3376,-0.27,0.145
Rv3377c,0.23,0.183
Rv3382c,-1.28,0.064
Rv3384c,0.03,0.917
Rv3385c,-0.35,0.193
Rv3389c,-0.45,0.004
Rv3390,-0.98,0.000
Rv3392c,-0.13,0.449
Rv3393,-0.11,0.676
Rv3396c,0.17,0.164
Rv3399,-0.09,0.218
Rv3400,0.35,0.002
Rv3401,-0.19,0.041
Rv3404c,0.14,0.087
Rv3406,0.73,0.005
Rv3407,-0.06,0.814
Rv3408,1.15,0.001
Rv3409c,0.00,0.993
Rv3410c,0.27,0.069
Rv3411c,0.64,0.000
Rv3412,-0.33,0.244
Rv3417c,0.54,0.001
Rv3418c,0.47,0.061
Rv3419c,0.10,0.628
Rv3422c,0.20,0.220
Rv3423c,0.00,0.999
Rv3432c,-0.02,0.929
Rv3433c,0.13,0.226
Rv3435c,-1.50,0.001
Rv3436c,-0.32,0.025
Rv3437,0.01,0.956
Rv3438,0.34,0.069
Rv3441c,-0.65,0.001
Rv3442c,-0.55,0.119
Rv3443c,0.14,0.750
Rv3446c,0.15,0.586
Rv3449,0.54,0.009
Rv3455c,-0.60,0.009
Rv3456c,-0.74,0.010
Rv3457c,-0.05,0.703
Rv3458c,0.07,0.815
Rv3459c,0.05,0.834
Rv3460c,0.69,0.249
Rv3461c,-1.10,0.000
Rv3462c,-0.04,0.775
Rv3463,-0.04,0.866
Rv3464,0.10,0.348
Rv3465,0.50,0.014
Rv3472,-0.46,0.041
Rv3477,-1.63,0.000
Rv3478,-1.32,0.005
Rv3480c,-0.20,0.082
Rv3482c,-0.22,0.108
Rv3483c,-0.07,0.935
Rv3484,-0.12,0.475
Rv3485c,-0.07,0.359
Rv3487c,-1.00,0.000
Rv3488,-0.02,0.949
Rv3489,-0.62,0.006
Rv3490,0.22,0.281
Rv3492c,-0.38,0.042
Rv3493c,-0.88,0.001
Rv3494c,-0.38,0.024
Rv3496c,-0.51,0.001
Rv3497c,-0.23,0.132
Rv3498c,0.12,0.548
Rv3499c,-0.36,0.010
Rv3502c,0.10,0.273
Rv3503c,0.20,0.372
Rv3504,0.54,0.018
Rv3505,0.44,0.053
Rv3509c,-0.20,0.054
Rv3510c,0.11,0.377
Rv3515c,-0.27,0.036
Rv3516,0.59,0.002
Rv3517,0.09,0.721
Rv3518c,-0.29,0.039
Rv3519,-0.50,0.029
Rv3520c,0.12,0.188
Rv3524,-0.96,0.002
Rv3525c,0.48,0.034
Rv3526,0.30,0.043
Rv3528c,-0.37,0.058
Rv3534c,0.34,0.032
Rv3535c,0.62,0.001
Rv3536c,0.44,0.002
Rv3537,0.61,0.001
Rv3538,0.39,0.113
Rv3542c,0.18,0.299
Rv3544c,0.50,0.012
Rv3545c,-0.34,0.012
Rv3546,0.39,0.002
Rv3547,-0.14,0.399
Rv3548c,0.98,0.001
Rv3550,0.02,0.913
Rv3552,1.02,0.028
Rv3554,-0.44,0.029
Rv3556c,0.11,0.258
Rv3560c,-0.39,0.103
Rv3561,0.09,0.622
Rv3562,0.77,0.002
Rv3563,0.25,0.070
Rv3564,0.23,0.132
Rv3565,0.22,0.101
Rv3566c,-0.34,0.056
Rv3568c,0.03,0.858
Rv3569c,0.31,0.007
Rv3570c,0.01,0.929
Rv3572,-0.61,0.029
Rv3573c,-0.60,0.038
Rv3574,0.34,0.063
Rv3575c,-0.21,0.134
Rv3576,-0.16,0.255
Rv3579c,0.31,0.595
Rv3580c,-0.22,0.009
Rv3581c,-0.25,0.464
Rv3582c,0.41,0.031
Rv3583c,0.50,0.043
Rv3584,-0.45,0.029
Rv3585,-0.10,0.811
Rv3586,0.08,0.399
Rv3587c,-1.70,0.000
Rv3588c,-0.17,0.519
Rv3589,-0.32,0.091
Rv3591c,-0.14,0.297
Rv3592,-0.04,0.871
Rv3593,-0.49,0.181
Rv3596c,-0.37,0.013
Rv3597c,0.28,0.241
Rv3598c,-0.21,0.115
Rv3600c,0.08,0.541
Rv3602c,-0.18,0.352
Rv3603c,0.36,0.010
Rv3604c,-0.03,0.869
Rv3605c,-0.66,0.005
Rv3606c,-0.13,0.844
Rv3607c,0.50,0.040
Rv3608c,0.40,0.007
Rv3609c,-0.19,0.376
Rv3610c,-0.07,0.710
Rv3614c,0.30,0.197
Rv3615c,0.46,0.064
Rv3616c,0.35,0.165
Rv3617,0.89,0.000
Rv3618,0.60,0.002
Rv3623,0.18,0.352
Rv3624c,-0.25,0.049
Rv3625c,0.52,0.003
Rv3626c,0.31,0.142
Rv3627c,-0.48,0.004
Rv3628,-0.19,0.206
Rv3632,-1.63,0.000
Rv3633,-0.78,0.002
Rv3634c,0.10,0.289
Rv3644c,-0.16,0.106
Rv3645,-0.04,0.743
Rv3646c,-0.61,0.000
Rv3647c,-0.22,0.042
Rv3648c,-0.40,0.218
Rv3651,-0.11,0.655
Rv3661,0.25,0.302
Rv3662c,0.07,0.790
Rv3666c,-0.56,0.012
Rv3667,-0.25,0.077
Rv3668c,-0.55,0.050
Rv3669,-0.20,0.110
Rv3671c,-0.40,0.018
Rv3672c,-0.57,0.003
Rv3673c,-0.88,0.001
Rv3674c,0.09,0.550
Rv3676,0.16,0.526
Rv3677c,0.08,0.497
Rv3678A,-0.31,0.050
Rv3678c,0.14,0.295
Rv3679,0.22,0.152
Rv3680,-0.12,0.272
Rv3682,-0.80,0.000
Rv3683,0.34,0.135
Rv3684,-0.42,0.020
Rv3685c,0.45,0.091
Rv3687c,0.28,0.239
Rv3688c,0.22,0.211
Rv3690,-0.19,0.175
Rv3691,-0.36,0.035
Rv3692,0.01,0.933
Rv3693,0.09,0.462
Rv3694c,-0.94,0.018
Rv3695,0.01,0.977
Rv3696c,-0.38,0.002
Rv3699,0.26,0.057
Rv3700c,-0.04,0.743
Rv3701c,-0.57,0.064
Rv3702c,-1.06,0.165
Rv3704c,-0.58,0.001
Rv3707c,-0.55,0.002
Rv3708c,0.12,0.325
Rv3709c,-0.21,0.042
Rv3710,0.16,0.020
Rv3711c,-0.70,0.002
Rv3712,-0.52,0.377
Rv3713,0.12,0.308
Rv3714c,-0.56,0.033
Rv3715c,-0.99,0.001
Rv3716c,-0.25,0.072
Rv3717,-0.58,0.105
Rv3718c,-0.02,0.898
Rv3719,-0.11,0.269
Rv3720,0.24,0.078
Rv3721c,-0.56,0.002
Rv3722c,-0.07,0.666
Rv3723,0.71,0.019
Rv3726,-0.18,0.167
Rv3729,1.38,0.004
Rv3730c,0.00,0.993
Rv3731,-0.36,0.011
Rv3732,-0.14,0.382
Rv3734c,0.29,0.106
Rv3747,0.12,0.722
Rv3754,-0.05,0.606
Rv3755c,-0.25,0.085
Rv3758c,0.28,0.019
Rv3759c,-0.28,0.285
Rv3761c,-0.21,0.018
Rv3762c,-0.20,0.167
Rv3763,-0.67,0.033
Rv3764c,-0.65,0.007
Rv3765c,-0.26,0.243
Rv3766,-0.02,0.939
Rv3767c,-0.10,0.168
Rv3768,0.08,0.706
Rv3772,0.14,0.060
Rv3773c,0.05,0.857
Rv3774,0.52,0.024
Rv3775,-0.49,0.111
Rv3777,-0.82,0.002
Rv3778c,0.17,0.045
Rv3779,0.12,0.555
Rv3780,-0.02,0.898
Rv3781,0.05,0.584
Rv3782,-0.05,0.764
Rv3784,0.62,0.131
Rv3786c,-0.04,0.882
Rv3788,0.01,0.972
Rv3790,-0.27,0.017
Rv3791,-0.14,0.194
Rv3792,-0.29,0.304
Rv3793,-0.38,0.010
Rv3794,0.08,0.663
Rv3795,-0.34,0.030
Rv3796,0.00,0.991
Rv3797,0.22,0.370
Rv3799c,-0.40,0.002
Rv3800c,-0.35,0.005
Rv3801c,-0.54,0.006
Rv3802c,-0.76,0.003
Rv3803c,-0.74,0.009
Rv3804c,-1.08,0.000
Rv3805c,-0.22,0.224
Rv3806c,0.06,0.913
Rv3807c,-0.08,0.722
Rv3808c,-0.35,0.004
Rv3809c,0.01,0.966
Rv3813c,0.34,0.025
Rv3814c,0.16,0.651
Rv3815c,0.39,0.186
Rv3816c,0.13,0.645
Rv3817,-0.39,0.096
Rv3818,0.00,0.999
Rv3819,-0.02,0.962
Rv3820c,-0.59,0.040
Rv3824c,-1.06,0.000
Rv3825c,-0.85,0.000
Rv3826,-0.49,0.008
Rv3834c,0.01,0.929
Rv3835,-1.52,0.000
Rv3836,-0.04,0.844
Rv3837c,-0.26,0.185
Rv3838c,0.00,0.980
Rv3841,2.17,0.000
Rv3842c,-0.88,0.000
Rv3843c,-1.01,0.001
Rv3846,-0.46,0.016
Rv3849,-0.25,0.220
Rv3850,0.23,0.505
Rv3852,0.04,0.922
Rv3853,-0.22,0.109
Rv3854c,0.80,0.001
Rv3855,0.85,0.002
Rv3856c,0.38,0.001
Rv3858c,-0.73,0.006
Rv3859c,-0.65,0.009
Rv3863,-0.19,0.172
Rv3864,0.13,0.445
Rv3865,-0.31,0.026
Rv3866,-0.34,0.208
Rv3867,0.13,0.801
Rv3868,-0.21,0.252
Rv3869,0.36,0.052
Rv3870,0.47,0.030
Rv3871,0.04,0.850
Rv3872,-3.49,0.000
Rv3873,-0.31,0.096
Rv3874,1.40,0.000
Rv3875,0.31,0.046
Rv3876,0.47,0.051
Rv3877,1.00,0.003
Rv3878,-0.62,0.001
Rv3879c,-0.07,0.486
Rv3880c,0.01,0.970
Rv3881c,-0.09,0.050
Rv3882c,-0.14,0.521
Rv3883c,-0.31,0.162
Rv3885c,-0.59,0.005
Rv3886c,-0.25,0.035
Rv3888c,-0.32,0.002
Rv3890c,-1.42,0.000
Rv3891c,-0.95,0.012
Rv3894c,-0.80,0.026
Rv3895c,-0.14,0.530
Rv3898c,-3.05,0.000
Rv3902c,0.23,0.091
Rv3907c,-0.11,0.275
Rv3908,0.04,0.915
Rv3909,-0.16,0.211
Rv3910,0.11,0.526
Rv3913,-0.36,0.087
Rv3914,0.01,0.957
Rv3915,-0.55,0.001
Rv3916c,0.55,0.003
Rv3917c,-0.15,0.397
Rv3918c,-0.47,0.000
Rv3919c,-0.30,0.268
Rv3920c,-0.96,0.000
Rv3921c,-0.09,0.358
Rv3922c,-0.55,0.027
Rv3924c,0.70,0.236
