Gene,Value,padj
Rv2958c,-0.40,0.457
Rv2959c,-0.47,0.029
Rv2962c,-0.49,0.067
Rv2964,0.31,0.151
Rv2965c,0.22,0.139
Rv2966c,-0.82,0.026
Rv2967c,-0.12,0.405
Rv2969c,-0.12,0.240
Rv2970c,-0.12,0.412
Rv2971,-0.32,0.048
Rv2976c,-0.28,0.012
Rv2977c,0.08,0.439
Rv2980,-0.26,0.201
Rv2981c,-0.20,0.085
Rv2982c,0.30,0.034
Rv2983,0.17,0.133
Rv2984,-0.09,0.305
Rv2985,0.06,0.735
Rv2986c,1.24,0.200
Rv2987c,-0.72,0.001
Rv2988c,-0.32,0.004
Rv2989,-0.41,0.069
Rv2991,0.12,0.251
Rv2992c,-0.21,0.008
Rv2993c,0.02,0.941
Rv2994,-0.81,0.027
Rv2995c,0.30,0.014
Rv2996c,0.53,0.002
Rv2999,-0.21,0.202
Rv3000,0.31,0.323
Rv3001c,-0.09,0.263
Rv3002c,-0.38,0.074
Rv3003c,-0.55,0.003
Rv3005c,-0.66,0.028
Rv3006,-0.01,0.969
Rv3009c,-0.30,0.020
Rv3010c,0.41,0.001
Rv3011c,-0.12,0.164
Rv3012c,-0.81,0.007
Rv3013,0.02,0.844
Rv3014c,-0.03,0.839
Rv3015c,0.25,0.122
Rv3024c,-1.12,0.085
Rv3025c,-0.28,0.022
Rv3028c,0.28,0.075
Rv3029c,0.00,0.994
Rv3030,-1.57,0.014
Rv3031,-0.17,0.517
Rv3032A,-0.18,0.464
Rv3033,0.03,0.782
Rv3034c,-0.39,0.095
Rv3035,-0.07,0.477
Rv3036c,-0.19,0.315
Rv3038c,-1.77,0.000
Rv3039c,0.13,0.400
Rv3040c,0.13,0.288
Rv3041c,-0.02,0.810
Rv3042c,0.22,0.182
Rv3043c,-0.37,0.019
Rv3044,-0.09,0.447
Rv3045,0.24,0.134
Rv3046c,0.07,0.737
Rv3048c,0.33,0.139
Rv3049c,-0.98,0.002
Rv3050c,0.01,0.972
Rv3051c,0.29,0.016
Rv3052c,-1.02,0.001
Rv3053c,-0.11,0.898
Rv3054c,-0.75,0.016
Rv3055,0.51,0.031
Rv3057c,0.31,0.517
Rv3058c,-0.11,0.496
Rv3059,0.58,0.000
Rv3061c,0.34,0.001
Rv3062,0.64,0.300
Rv3068c,0.01,0.961
Rv3071,-0.28,0.287
Rv3075c,0.28,0.018
Rv3076,-0.29,0.390
Rv3077,-0.70,0.008
Rv3079c,0.22,0.028
Rv3080c,0.87,0.002
Rv3084,0.62,0.016
Rv3085,0.19,0.310
Rv3086,1.39,0.000
Rv3087,1.38,0.000
Rv3088,1.40,0.000
Rv3089,0.74,0.002
Rv3090,-0.37,0.028
Rv3091,-0.04,0.733
Rv3092c,-0.40,0.127
Rv3093c,0.22,0.156
Rv3094c,0.82,0.015
Rv3095,0.21,0.520
Rv3098A,0.25,0.489
Rv3099c,0.25,0.009
Rv3101c,-0.20,0.375
Rv3102c,-0.51,0.001
Rv3104c,0.02,0.911
Rv3105c,0.27,0.023
Rv3106,-0.60,0.001
Rv3107c,-0.31,0.009
Rv3116,-0.38,0.020
Rv3119,-0.78,0.000
Rv3120,-0.74,0.001
Rv3121,-0.79,0.000
Rv3127,5.58,0.000
Rv3130c,3.42,0.000
Rv3131,4.12,0.000
Rv3132c,2.44,0.000
Rv3133c,4.13,0.000
Rv3134c,3.83,0.000
Rv3136,-0.07,0.800
Rv3137,0.34,0.014
Rv3139,1.15,0.004
Rv3140,1.57,0.000
Rv3141,0.24,0.034
Rv3142c,-0.08,0.727
Rv3143,0.04,0.848
Rv3144c,-1.91,0.000
Rv3145,-0.63,0.001
Rv3146,-0.53,0.003
Rv3147,-0.19,0.100
Rv3148,-0.61,0.000
Rv3149,-0.34,0.010
Rv3150,-0.22,0.126
Rv3151,-0.46,0.004
Rv3152,0.00,0.994
Rv3153,-0.20,0.255
Rv3154,-0.60,0.030
Rv3156,-1.00,0.001
Rv3157,-0.18,0.141
Rv3158,-0.20,0.192
Rv3160c,0.20,0.581
Rv3161c,0.93,0.010
Rv3168,-0.06,0.556
Rv3169,0.02,0.937
Rv3173c,-0.24,0.106
Rv3181c,0.02,0.929
Rv3182,0.49,0.360
Rv3188,0.65,0.009
Rv3190A,-0.81,0.010
Rv3190c,-0.70,0.022
Rv3193c,-0.36,0.023
Rv3194c,-0.42,0.019
Rv3196,2.92,0.000
Rv3196A,-0.15,0.691
Rv3197,-0.20,0.090
Rv3198A,-1.70,0.000
Rv3198c,-0.81,0.002
Rv3199c,-0.21,0.445
Rv3200c,0.07,0.505
Rv3203,-0.35,0.018
Rv3205c,0.35,0.002
Rv3206c,-0.18,0.087
Rv3207c,-0.90,0.000
Rv3208,-0.42,0.018
Rv3208A,0.18,0.307
Rv3210c,-0.10,0.464
Rv3211,-0.66,0.008
Rv3212,-0.15,0.247
Rv3213c,-0.84,0.001
Rv3214,0.04,0.789
Rv3215,-0.24,0.121
Rv3218,0.09,0.645
Rv3220c,-0.38,0.018
Rv3221A,-0.06,0.759
Rv3223c,-0.25,0.008
Rv3224,0.16,0.285
Rv3225c,-0.72,0.002
Rv3226c,-0.34,0.039
Rv3227,-0.13,0.122
Rv3228,-0.22,0.101
Rv3231c,0.08,0.569
Rv3232c,-0.24,0.095
Rv3237c,0.28,0.174
Rv3240c,0.18,0.103
Rv3241c,1.13,0.000
Rv3244c,0.31,0.130
Rv3245c,-0.13,0.283
Rv3246c,0.61,0.003
Rv3247c,0.12,0.281
Rv3248c,0.29,0.021
Rv3249c,-0.54,0.016
Rv3250c,-1.43,0.000
Rv3252c,-0.08,0.771
Rv3254,0.08,0.647
Rv3255c,0.28,0.129
Rv3256c,-0.34,0.032
Rv3257c,0.10,0.284
Rv3259,-0.32,0.298
Rv3260c,-0.37,0.146
Rv3261,0.19,0.135
Rv3262,-0.21,0.024
Rv3264c,0.04,0.485
Rv3265c,0.08,0.699
Rv3266c,-0.15,0.634
Rv3267,-1.37,0.000
Rv3268,0.08,0.810
Rv3269,0.47,0.130
Rv3270,0.15,0.159
Rv3272,-0.51,0.010
Rv3273,-0.58,0.000
Rv3274c,0.22,0.256
Rv3275c,0.58,0.039
Rv3276c,0.14,0.146
Rv3278c,-0.01,0.952
Rv3279c,-0.31,0.173
Rv3280,-0.52,0.002
Rv3281,-0.38,0.018
Rv3282,-0.40,0.170
Rv3283,0.26,0.053
Rv3284,-0.06,0.712
Rv3285,-0.37,0.001
Rv3286c,0.37,0.496
Rv3287c,0.35,0.110
Rv3288c,0.78,0.002
Rv3290c,3.07,0.000
Rv3291c,0.36,0.006
Rv3292,0.23,0.013
Rv3293,-0.12,0.512
Rv3295,-0.15,0.373
Rv3296,-0.26,0.378
Rv3299c,-0.18,0.215
Rv3301c,-0.09,0.641
Rv3302c,-0.30,0.001
Rv3303c,-0.66,0.000
Rv3304,0.07,0.669
Rv3305c,-0.08,0.395
Rv3306c,0.53,0.013
Rv3307,0.40,0.022
Rv3309c,0.30,0.018
Rv3310,-0.19,0.034
Rv3311,0.09,0.491
Rv3312A,-0.35,0.521
Rv3313c,-0.36,0.035
Rv3314c,0.06,0.750
Rv3315c,0.19,0.278
Rv3317,-0.59,0.273
Rv3318,0.20,0.028
Rv3319,-0.06,0.644
Rv3321c,-0.54,0.073
Rv3328c,-0.17,0.354
Rv3329,-0.02,0.897
Rv3330,-0.92,0.000
Rv3334,0.28,0.063
Rv3336c,0.00,0.992
Rv3339c,0.32,0.019
Rv3340,0.92,0.000
Rv3341,-0.43,0.108
Rv3342,0.65,0.009
Rv3354,-1.61,0.002
Rv3356c,0.28,0.007
Rv3357,0.46,0.294
Rv3359,-0.48,0.243
Rv3360,0.06,0.573
Rv3362c,-0.30,0.442
Rv3364c,-0.81,0.008
Rv3365c,-1.03,0.000
Rv3368c,-0.27,0.033
Rv3369,0.28,0.036
Rv3372,-0.13,0.423
Rv3373,-1.40,0.000
Rv3376,-0.34,0.078
Rv3377c,0.38,0.039
Rv3382c,-1.22,0.074
Rv3384c,-0.14,0.581
Rv3385c,-0.26,0.334
Rv3389c,-0.25,0.055
Rv3390,-1.05,0.000
Rv3392c,0.06,0.703
Rv3393,-0.18,0.479
Rv3396c,0.18,0.158
Rv3399,-0.45,0.000
Rv3400,0.28,0.008
Rv3401,-0.17,0.059
Rv3404c,0.23,0.013
Rv3406,0.21,0.319
Rv3407,-0.04,0.863
Rv3408,0.55,0.045
Rv3409c,-0.22,0.369
Rv3410c,0.21,0.142
Rv3411c,0.70,0.000
Rv3412,0.16,0.575
Rv3417c,0.42,0.003
Rv3418c,0.42,0.090
Rv3419c,0.13,0.498
Rv3422c,-0.08,0.615
Rv3423c,0.01,0.942
Rv3432c,0.16,0.385
Rv3433c,-0.08,0.451
Rv3435c,-1.68,0.000
Rv3436c,-0.44,0.006
Rv3437,0.14,0.495
Rv3438,0.07,0.699
Rv3441c,-0.72,0.000
Rv3442c,-0.97,0.015
Rv3443c,-0.69,0.090
Rv3446c,-0.08,0.773
Rv3449,0.29,0.110
Rv3455c,-0.96,0.001
Rv3456c,-0.45,0.079
Rv3457c,-0.14,0.256
Rv3458c,-0.69,0.018
Rv3459c,-0.03,0.916
Rv3460c,0.39,0.521
Rv3461c,-0.77,0.003
Rv3462c,-0.27,0.044
Rv3463,-0.26,0.240
Rv3464,0.04,0.712
Rv3465,0.44,0.024
Rv3472,-0.15,0.486
Rv3477,-1.69,0.000
Rv3478,-0.83,0.042
Rv3480c,-0.36,0.007
Rv3482c,-0.36,0.015
Rv3483c,-0.13,0.867
Rv3484,-0.03,0.841
Rv3485c,-0.12,0.120
Rv3487c,-1.10,0.000
Rv3488,-0.12,0.596
Rv3489,-0.49,0.019
Rv3490,-0.01,0.951
Rv3492c,-0.66,0.003
Rv3493c,-0.80,0.002
Rv3494c,-0.54,0.004
Rv3496c,-0.49,0.001
Rv3497c,-0.16,0.281
Rv3498c,-0.10,0.614
Rv3499c,-0.47,0.003
Rv3502c,0.25,0.014
Rv3503c,0.66,0.012
Rv3504,0.64,0.008
Rv3505,0.37,0.093
Rv3509c,-0.04,0.692
Rv3510c,0.24,0.067
Rv3515c,-0.13,0.294
Rv3516,0.66,0.001
Rv3517,-0.26,0.247
Rv3518c,-0.14,0.286
Rv3519,-0.76,0.004
Rv3520c,0.17,0.071
Rv3524,-0.85,0.004
Rv3525c,0.22,0.294
Rv3526,0.73,0.000
Rv3528c,-0.36,0.060
Rv3534c,0.58,0.002
Rv3535c,0.63,0.001
Rv3536c,0.50,0.001
Rv3537,0.15,0.270
Rv3538,0.68,0.013
Rv3542c,0.24,0.166
Rv3544c,0.24,0.174
Rv3545c,-0.33,0.015
Rv3546,0.34,0.005
Rv3547,0.05,0.786
Rv3548c,0.92,0.001
Rv3550,0.01,0.945
Rv3552,1.17,0.015
Rv3554,-0.72,0.003
Rv3556c,0.18,0.071
Rv3560c,-0.41,0.089
Rv3561,0.10,0.562
Rv3562,0.70,0.003
Rv3563,0.32,0.027
Rv3564,0.36,0.028
Rv3565,0.20,0.143
Rv3566c,-0.05,0.772
Rv3568c,-0.07,0.686
Rv3569c,0.29,0.009
Rv3570c,0.01,0.934
Rv3572,-0.20,0.426
Rv3573c,-0.56,0.052
Rv3574,0.18,0.312
Rv3575c,-0.37,0.019
Rv3576,-0.11,0.442
Rv3579c,0.22,0.703
Rv3580c,-0.14,0.075
Rv3581c,-0.01,0.982
Rv3582c,0.60,0.005
Rv3583c,0.27,0.244
Rv3584,-0.37,0.061
Rv3585,0.50,0.174
Rv3586,-0.03,0.717
Rv3587c,-1.23,0.000
Rv3588c,-0.58,0.035
Rv3589,-0.26,0.153
Rv3591c,-0.24,0.093
Rv3592,-0.02,0.911
Rv3593,-0.65,0.089
Rv3596c,-0.35,0.018
Rv3597c,0.43,0.082
Rv3598c,-0.36,0.014
Rv3600c,0.21,0.100
Rv3602c,-0.27,0.153
Rv3603c,0.24,0.059
Rv3604c,-0.04,0.842
Rv3605c,-0.53,0.014
Rv3606c,-0.42,0.477
Rv3607c,0.12,0.608
Rv3608c,0.43,0.005
Rv3609c,-0.10,0.649
Rv3610c,-0.08,0.676
Rv3614c,0.43,0.073
Rv3615c,1.00,0.002
Rv3616c,0.91,0.004
Rv3617,0.87,0.000
Rv3618,0.55,0.004
Rv3623,-0.13,0.508
Rv3624c,-0.38,0.007
Rv3625c,0.24,0.091
Rv3626c,0.31,0.148
Rv3627c,-0.20,0.136
Rv3628,0.07,0.647
Rv3632,-1.29,0.000
Rv3633,-0.47,0.020
Rv3634c,0.07,0.466
Rv3644c,-0.29,0.011
Rv3645,-0.13,0.180
Rv3646c,-0.46,0.003
Rv3647c,-0.26,0.018
Rv3648c,-0.44,0.181
Rv3651,-0.04,0.863
Rv3661,0.19,0.423
Rv3662c,-0.12,0.641
Rv3666c,-0.51,0.018
Rv3667,-0.09,0.492
Rv3668c,-0.15,0.581
Rv3669,-0.11,0.394
Rv3671c,-0.17,0.252
Rv3672c,-0.59,0.002
Rv3673c,-0.74,0.002
Rv3674c,-0.15,0.321
Rv3676,-0.08,0.747
Rv3677c,0.01,0.950
Rv3678A,-0.35,0.028
Rv3678c,0.21,0.109
Rv3679,0.05,0.733
Rv3680,-0.14,0.196
Rv3682,-0.63,0.000
Rv3683,-0.02,0.950
Rv3684,-0.25,0.124
Rv3685c,0.34,0.193
Rv3687c,-0.05,0.826
Rv3688c,0.14,0.416
Rv3690,-0.12,0.397
Rv3691,-0.38,0.027
Rv3692,0.01,0.950
Rv3693,-0.25,0.058
Rv3694c,-0.66,0.075
Rv3695,0.13,0.446
Rv3696c,-0.29,0.008
Rv3699,0.34,0.021
Rv3700c,0.00,0.994
Rv3701c,-0.56,0.066
Rv3702c,-0.87,0.253
Rv3704c,-0.60,0.001
Rv3707c,-0.68,0.000
Rv3708c,0.08,0.549
Rv3709c,-0.13,0.177
Rv3710,0.23,0.003
Rv3711c,-0.80,0.001
Rv3712,-1.43,0.025
Rv3713,0.06,0.616
Rv3714c,-0.78,0.007
Rv3715c,-1.04,0.000
Rv3716c,-0.40,0.011
Rv3717,-0.61,0.088
Rv3718c,-0.06,0.642
Rv3719,-0.11,0.270
Rv3720,0.28,0.048
Rv3721c,-0.66,0.001
Rv3722c,-0.01,0.976
Rv3723,0.79,0.011
Rv3726,-0.02,0.882
Rv3729,1.38,0.004
Rv3730c,-0.07,0.773
Rv3731,-0.22,0.079
Rv3732,-0.06,0.726
Rv3734c,0.24,0.166
Rv3747,0.26,0.414
Rv3754,0.07,0.478
Rv3755c,-0.05,0.731
Rv3758c,0.05,0.607
Rv3759c,-0.29,0.264
Rv3761c,-0.34,0.001
Rv3762c,-0.16,0.255
Rv3763,-0.27,0.351
Rv3764c,-0.38,0.072
Rv3765c,-0.12,0.590
Rv3766,0.06,0.794
Rv3767c,-0.05,0.489
Rv3768,0.23,0.269
Rv3772,-0.03,0.675
Rv3773c,0.48,0.053
Rv3774,0.31,0.146
Rv3775,-0.24,0.430
Rv3777,-0.62,0.010
Rv3778c,0.00,0.985
Rv3779,0.34,0.088
Rv3780,0.18,0.224
Rv3781,-0.04,0.699
Rv3782,-0.02,0.864
Rv3784,0.44,0.270
Rv3786c,-0.37,0.123
Rv3788,-0.10,0.550
Rv3790,-0.34,0.005
Rv3791,-0.46,0.002
Rv3792,-0.59,0.052
Rv3793,-0.34,0.015
Rv3794,-0.09,0.593
Rv3795,-0.32,0.036
Rv3796,-0.20,0.184
Rv3797,-0.14,0.569
Rv3799c,-0.53,0.000
Rv3800c,-0.27,0.017
Rv3801c,-0.67,0.002
Rv3802c,-0.54,0.016
Rv3803c,0.00,0.999
Rv3804c,-0.75,0.004
Rv3805c,-0.37,0.050
Rv3806c,0.15,0.730
Rv3807c,-0.11,0.611
Rv3808c,-0.40,0.002
Rv3809c,-0.11,0.283
Rv3813c,0.34,0.023
Rv3814c,-0.48,0.174
Rv3815c,0.29,0.325
Rv3816c,-0.21,0.445
Rv3817,-0.27,0.240
Rv3818,0.02,0.734
Rv3819,-0.11,0.723
Rv3820c,-0.92,0.005
Rv3824c,-1.15,0.000
Rv3825c,-0.78,0.000
Rv3826,-0.47,0.009
Rv3834c,0.08,0.489
Rv3835,-1.08,0.000
Rv3836,-0.36,0.041
Rv3837c,-0.08,0.704
Rv3838c,0.12,0.220
Rv3841,2.56,0.000
Rv3842c,-0.94,0.000
Rv3843c,-0.95,0.002
Rv3846,0.11,0.514
Rv3849,-0.04,0.841
Rv3850,0.63,0.078
Rv3852,0.07,0.830
Rv3853,-0.28,0.047
Rv3854c,0.53,0.008
Rv3855,1.03,0.001
Rv3856c,0.11,0.208
Rv3858c,-0.89,0.002
Rv3859c,-0.78,0.003
Rv3863,-0.05,0.735
Rv3864,0.20,0.247
Rv3865,-0.21,0.114
Rv3866,-0.13,0.637
Rv3867,0.02,0.971
Rv3868,0.04,0.827
Rv3869,0.31,0.089
Rv3870,0.24,0.227
Rv3871,0.11,0.578
Rv3872,-2.86,0.000
Rv3873,0.12,0.500
Rv3874,1.40,0.000
Rv3875,0.38,0.020
Rv3876,0.49,0.045
Rv3877,0.70,0.021
Rv3878,-0.61,0.001
Rv3879c,-0.21,0.061
Rv3880c,0.09,0.692
Rv3881c,-0.03,0.477
Rv3882c,-0.69,0.007
Rv3883c,-0.23,0.300
Rv3885c,-0.86,0.001
Rv3886c,-0.14,0.207
Rv3888c,-0.40,0.000
Rv3890c,-1.45,0.000
Rv3891c,-1.26,0.003
Rv3894c,-0.48,0.146
Rv3895c,-0.27,0.204
Rv3898c,-2.50,0.000
Rv3902c,0.02,0.863
Rv3907c,-0.19,0.070
Rv3908,0.11,0.767
Rv3909,-0.10,0.404
Rv3910,0.12,0.471
Rv3913,-0.33,0.119
Rv3914,0.03,0.785
Rv3915,-0.71,0.000
Rv3916c,0.33,0.031
Rv3917c,-0.47,0.018
Rv3918c,-0.72,0.000
Rv3919c,-0.46,0.094
Rv3920c,-0.71,0.001
Rv3921c,-0.08,0.419
Rv3922c,-0.97,0.002
Rv3924c,0.68,0.252
