Gene,Value,padj
Rv1078,0.29,0.393
Rv1079,-0.12,0.329
Rv1080c,-0.24,0.257
Rv1082,0.50,0.005
Rv1084,0.08,0.338
Rv1085c,-1.62,0.001
Rv1086,0.31,0.110
Rv1092c,-0.29,0.009
Rv1093,0.23,0.020
Rv1094,1.89,0.000
Rv1095,0.90,0.011
Rv1096,-0.12,0.403
Rv1097c,-0.27,0.119
Rv1098c,-0.06,0.650
Rv1099c,0.07,0.558
Rv1100,-0.02,0.902
Rv1101c,-0.23,0.123
Rv1103c,-0.16,0.600
Rv1106c,-0.04,0.817
Rv1107c,-1.55,0.035
Rv1108c,-0.85,0.005
Rv1109c,-0.22,0.362
Rv1110,0.58,0.023
Rv1111c,-0.40,0.142
Rv1112,0.01,0.959
Rv1113,-0.28,0.098
Rv1117,-0.22,0.279
Rv1118c,-0.20,0.168
Rv1121,-0.16,0.325
Rv1122,0.13,0.173
Rv1123c,-0.78,0.116
Rv1124,-0.04,0.809
Rv1126c,0.34,0.020
Rv1127c,0.20,0.276
Rv1129c,0.42,0.142
Rv1130,0.45,0.113
Rv1131,0.45,0.257
Rv1132,0.10,0.191
Rv1133c,-0.14,0.107
Rv1140,-0.12,0.414
Rv1141c,-0.27,0.025
Rv1142c,-0.25,0.157
Rv1143,0.07,0.869
Rv1144,-0.02,0.864
Rv1151c,0.14,0.418
Rv1152,0.26,0.387
Rv1155,0.67,0.044
Rv1156,0.40,0.093
Rv1157c,-0.95,0.002
Rv1159A,0.16,0.287
Rv1160,-0.64,0.164
Rv1161,0.21,0.159
Rv1162,0.07,0.677
Rv1165,-0.12,0.218
Rv1166,-0.12,0.244
Rv1167c,-0.39,0.010
Rv1170,0.16,0.251
Rv1173,0.31,0.175
Rv1174c,1.21,0.216
Rv1175c,-0.98,0.005
Rv1177,0.47,0.094
Rv1178,0.34,0.046
Rv1179c,-0.25,0.090
Rv1180,-0.27,0.431
Rv1181,-0.56,0.018
Rv1182,-0.30,0.082
Rv1184c,0.15,0.632
Rv1185c,-0.33,0.007
Rv1187,0.33,0.157
Rv1188,0.06,0.822
Rv1191,-0.33,0.046
Rv1192,0.00,0.994
Rv1193,-0.20,0.030
Rv1194c,0.62,0.036
Rv1196,-0.39,0.174
Rv1198,-0.62,0.310
Rv1201c,-0.11,0.194
Rv1202,-0.08,0.254
Rv1204c,-1.02,0.002
Rv1206,-0.33,0.149
Rv1207,-0.44,0.000
Rv1208,-0.75,0.050
Rv1209,-0.33,0.366
Rv1210,-0.22,0.386
Rv1211,-0.27,0.158
Rv1213,0.40,0.110
Rv1215c,-0.28,0.139
Rv1216c,0.02,0.943
Rv1218c,0.47,0.000
Rv1219c,0.85,0.159
Rv1220c,0.18,0.134
Rv1221,0.07,0.612
Rv1222,-0.22,0.637
Rv1223,-0.09,0.498
Rv1224,-0.04,0.955
Rv1225c,0.30,0.056
Rv1226c,0.09,0.465
Rv1229c,0.01,0.924
Rv1230c,-1.11,0.001
Rv1231c,-0.01,0.964
Rv1232c,-0.23,0.015
Rv1234,-0.05,0.651
Rv1235,-0.31,0.004
Rv1237,-1.38,0.203
Rv1238,-0.11,0.270
Rv1239c,0.02,0.930
Rv1240,0.21,0.108
Rv1241,-0.54,0.016
Rv1242,-0.38,0.188
Rv1244,-0.73,0.002
Rv1245c,-0.08,0.666
Rv1247c,0.32,0.058
Rv1248c,-0.30,0.014
Rv1249c,1.20,0.004
Rv1251c,-1.56,0.000
Rv1252c,-0.50,0.124
Rv1253,-0.03,0.952
Rv1257c,-0.12,0.380
Rv1259,-0.34,0.526
Rv1260,-0.03,0.836
Rv1261c,-0.33,0.320
Rv1263,0.01,0.959
Rv1264,0.83,0.010
Rv1265,0.09,0.552
Rv1266c,0.06,0.625
Rv1267c,-0.14,0.254
Rv1269c,-0.28,0.407
Rv1270c,-0.37,0.088
Rv1273c,-1.78,0.005
Rv1274,0.05,0.876
Rv1275,-0.03,0.814
Rv1276c,-0.08,0.471
Rv1277,0.09,0.760
Rv1278,0.07,0.869
Rv1279,0.02,0.953
Rv1280c,0.08,0.736
Rv1281c,-0.06,0.503
Rv1284,1.08,0.001
Rv1285,0.30,0.004
Rv1286,-0.10,0.589
Rv1287,0.13,0.509
Rv1288,0.02,0.915
Rv1290c,0.23,0.391
Rv1292,0.22,0.033
Rv1293,0.09,0.365
Rv1294,0.17,0.088
Rv1295,0.14,0.190
Rv1296,-0.07,0.436
Rv1297,-0.46,0.047
Rv1298,-0.06,0.754
Rv1299,-0.17,0.124
Rv1301,-0.05,0.738
Rv1302,-0.07,0.863
Rv1303,0.63,0.124
Rv1304,-0.15,0.458
Rv1306,-0.07,0.576
Rv1307,-0.12,0.606
Rv1308,0.07,0.373
Rv1309,-0.12,0.245
Rv1310,0.08,0.419
Rv1311,-0.27,0.359
Rv1312,0.01,0.968
Rv1314c,0.30,0.028
Rv1315,0.06,0.665
Rv1316c,0.65,0.022
Rv1320c,-0.72,0.030
Rv1322A,-0.24,0.221
Rv1323,0.32,0.011
Rv1324,0.31,0.056
Rv1326c,0.31,0.156
Rv1327c,0.19,0.112
Rv1328,-0.16,0.024
Rv1329c,-0.21,0.265
Rv1330c,-0.15,0.456
Rv1331,0.18,0.313
Rv1332,-0.05,0.644
Rv1333,-0.05,0.711
Rv1334,-0.32,0.026
Rv1335,-0.59,0.026
Rv1336,-0.03,0.662
Rv1338,-0.16,0.030
Rv1339,0.38,0.064
Rv1340,-0.15,0.159
Rv1341,-0.02,0.926
Rv1342c,-1.07,0.136
Rv1345,0.02,0.908
Rv1350,0.03,0.912
Rv1352,0.04,0.950
Rv1360,-0.41,0.063
Rv1362c,-0.18,0.554
Rv1363c,0.22,0.143
Rv1364c,-0.19,0.185
Rv1366A,-0.24,0.303
Rv1367c,-0.21,0.203
Rv1368,-0.34,0.061
Rv1377c,0.30,0.048
Rv1379,-0.09,0.445
Rv1380,-0.06,0.516
Rv1381,0.01,0.971
Rv1382,-0.26,0.278
Rv1383,-0.24,0.117
Rv1384,0.11,0.660
Rv1385,-0.33,0.004
Rv1386,-1.16,0.015
Rv1387,-0.88,0.011
Rv1388,0.11,0.472
Rv1389,-0.54,0.189
Rv1390,-0.82,0.023
Rv1391,0.32,0.140
Rv1392,0.20,0.022
Rv1397c,-0.49,0.068
