,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.NDC120MIN.C,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.A,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.B,X.ExpOut.181004_NS500751_0089_AH23CYBGX9.Out.Rep.Bams.T4.PEN120MIN.C
135,SP_0723,100.7005144,1.974817443,0.223275073,-8.844773479,9.17E-19,1.50E-17,41.2272024,36.9641956,39.90324288,145.4896376,155.6601264,184.9586818
136,SP_1659,6647.365606,-1.020753777,0.115458096,8.840902589,9.49E-19,1.55E-17,9807.389262,8501.159016,8455.497167,4357.504454,4240.789298,4521.854439
137,SP_0745,1684.34069,-1.007472788,0.114510026,8.798118564,1.39E-18,2.25E-17,2196.28551,2340.863731,2224.206758,1100.153124,1161.756065,1082.77895
138,SP_1059,1822.379398,-4.675809387,0.531497546,8.797424218,1.40E-18,2.25E-17,1267.736474,2663.239994,6829.040987,60.17164023,58.21435622,55.87293512
139,SP_2110,890.153932,1.130210701,0.128933878,-8.765816408,1.85E-18,2.95E-17,566.874033,521.7405313,576.2028272,1126.197565,1226.298069,1323.610567
140,SP_1402,441.0014588,-1.302668362,0.148903815,8.748388079,2.16E-18,3.42E-17,593.1095254,636.874911,654.4131833,235.2980558,235.3884839,290.9245932
141,SP_1978,1911.128178,-1.180603219,0.134998901,8.745280197,2.22E-18,3.49E-17,2889.652096,2622.639976,2459.635891,1085.783777,1068.106884,1340.950443
142,SP_0726,1024.421851,1.062289494,0.122376787,-8.680481946,3.94E-18,6.15E-17,685.8707309,636.2689406,658.4035076,1315.693327,1366.771842,1483.52276
143,SP_2022,272.9411904,1.320845336,0.152616033,-8.654695769,4.94E-18,7.66E-17,156.4759727,148.4627528,159.6129715,396.0551245,389.7830808,387.25724
144,SP_0913,384.3570458,1.289623965,0.150738365,-8.555379829,1.17E-17,1.81E-16,236.1194319,206.6359131,221.0639656,489.4558795,596.0643865,556.8026983
145,SP_0251,329.9456291,1.341197667,0.157029983,-8.541029201,1.33E-17,2.03E-16,163.9718277,209.0597948,181.1607227,489.4558795,494.8220279,441.2035222
146,SP_0897,23042.04117,-1.137466705,0.133567568,8.516039658,1.65E-17,2.50E-16,34715.17839,28501.21272,32069.43824,13705.66271,12851.4519,16409.30305
147,SP_1680,142.0205138,1.769999114,0.209706824,-8.44035057,3.16E-17,4.77E-16,51.534003,76.35227287,59.05679947,202.0689411,253.1058966,210.0051699
148,SP_2108,1348.952003,1.031474301,0.122466675,-8.422489666,3.69E-17,5.52E-16,844.2206673,876.8391972,924.1591052,1746.773735,1721.120097,1980.599217
