,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.60MINNDC.C
91,SPT_1401,678.0844549,0.468328469,0.106711037,-4.388753805,1.14E-05,0.000238402,781.7142209,798.5011537,805.66601,515.9811611,558.5911417,608.053042
92,SPT_0256,9099.32701,-0.435445288,0.099695195,4.367766054,1.26E-05,0.000257225,7147.438322,8682.019699,7095.28364,9836.640856,11200.40745,10634.17209
93,SPT_1243,6782.116419,-0.462360379,0.105865091,4.367448924,1.26E-05,0.000257225,6085.108739,5637.902085,5136.120813,7456.727749,7183.077133,9193.761995
94,SPT_1343,385.3323699,0.601920376,0.137935292,-4.363788031,1.28E-05,0.000258787,557.6935543,502.7599857,371.0711719,314.9884995,276.3180061,289.1630022
95,SPT_1333,4083.276389,-0.418036229,0.097376731,4.292978658,1.76E-05,0.000353141,3629.134799,3525.369151,3221.114682,5216.80953,4591.4048,4315.825369
96,SPT_0264,3910.144294,-0.414467858,0.096724472,4.285036143,1.83E-05,0.000358726,3248.299666,3060.921089,3640.990622,4820.823988,4218.613697,4471.216702
97,SPT_0272,20934.74698,-0.445964111,0.104134266,4.282587534,1.85E-05,0.000358726,17192.99664,18163.88483,17087.09152,27731.98748,24922.21672,20510.30472
98,SPT_0273,10414.95447,-0.403100241,0.094125475,4.282583873,1.85E-05,0.000358726,9057.509269,9660.654109,7927.288731,11516.57952,12485.52439,11842.1708
99,SPT_0328,19131.05335,-0.429024184,0.101789518,4.214816954,2.50E-05,0.000480519,16787.40132,17745.81436,13776.88877,21235.22468,21524.21986,23716.7711
100,SPT_0125,6909.701382,-0.379823772,0.090707892,4.187328823,2.82E-05,0.000537135,6264.325273,6107.05512,5496.346481,8268.698103,7934.614469,7387.168846
