,Gene,baseMean,Value,lfcSE,stat,pvalue,padj,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINPEN3.C,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.A,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.B,X.ExpOut.180927_NS500751_0087_AH2CN3BGX9.Out.Rep.Bams.19F.90MINNDC.C
73,SPT_0283,23744.40266,-0.489543171,0.061496334,7.960526077,1.71E-15,4.56E-14,19923.36878,19528.36551,19609.96985,27897.20492,26108.64882,29398.85809
74,SPT_0269,6627.716506,-0.554203708,0.070426325,7.869269196,3.57E-15,9.37E-14,5680.098375,5346.304222,4998.852634,8384.840265,7396.484958,7959.718579
75,SPT_1485,3483.955132,-0.489301215,0.06256717,7.820414726,5.26E-15,1.36E-13,2878.727746,2907.489393,2879.468677,3919.697517,4098.38019,4219.967269
76,SPT_1491,224.0567114,-1.005916682,0.1296476,7.758853107,8.57E-15,2.19E-13,155.5834138,140.4471791,132.7988929,273.8267561,297.7455693,343.9384571
77,SPT_0327,29799.86727,-0.569252003,0.073428456,7.752471359,9.01E-15,2.27E-13,24176.27181,23210.25427,24170.47817,35362.29644,39685.03842,32194.86453
78,SPT_1903,937.8774296,-0.771056795,0.099505434,7.748891346,9.27E-15,2.31E-13,645.8015444,765.0879482,632.6841563,1029.058616,1250.261938,1304.370375
79,SPT_0957,3122.872721,0.53850107,0.070246162,-7.665914422,1.78E-14,4.37E-13,3714.010766,3816.128326,3606.083758,2340.777109,2562.498067,2697.738303
80,SPT_0920,10604.73814,-0.544222638,0.071573184,7.603722661,2.88E-14,6.99E-13,8526.666421,8607.627393,8615.73305,12562.90658,11435.58549,13879.90992
81,SPT_0263,25895.48563,-0.469189626,0.061806681,7.591244441,3.17E-14,7.60E-13,21979.85122,21480.65889,21490.74766,31060.56643,28060.83583,31300.25371
82,SPT_1330,3211.60196,-0.527384757,0.069867386,7.548368212,4.41E-14,1.04E-12,2736.182048,2711.949674,2404.415727,3815.908343,3698.242479,3902.913489
83,SPT_2252,203.6309981,-0.977846886,0.129636362,7.542998502,4.59E-14,1.08E-12,126.031257,126.4800563,143.5955508,251.7439532,285.6201842,288.314987
84,SPT_0570,1160.661703,-0.623511863,0.083114125,7.501876005,6.29E-14,1.46E-12,902.2099638,855.098295,959.8228924,1436.486329,1514.325882,1296.026855
85,SPT_0951,4674.361283,-0.511358345,0.068397313,7.47629288,7.64E-14,1.75E-12,3851.341377,4008.56424,3646.031392,5489.784804,5855.213775,5195.232112
86,SPT_0950,4367.838018,-0.451390959,0.060638456,7.443971871,9.77E-14,2.21E-12,3681.851066,3782.762421,3569.375121,5144.188938,5061.674679,4967.175885
87,SPT_1787,467.6779468,-0.732947582,0.099241068,7.385526948,1.52E-13,3.39E-12,345.0648898,342.1945083,349.8117178,626.0474625,608.9637889,533.9853135
88,SPT_0333,3116.183912,-0.489474577,0.066683438,7.340272034,2.13E-13,4.71E-12,2608.412429,2420.96795,2719.678139,3675.682544,3630.879228,3641.483179
