"","Gene","baseMean","Value","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN240min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC240min.c"
"1768","SPT_0321",259.377719836531,0.182070019905028,0.401571182124588,0.453394137850609,0.650264956898989,0.791866771608327,283.692256816462,283.21764324332,266.821525059699,148.062973674611,423.233605975963,151.238314249131
"1769","SPT_0145",624.833726489081,-0.106285500734486,0.235000675631501,-0.452277426219614,0.651069136063035,0.791950197708313,576.181172759016,591.148183334742,638.919570210981,679.047430990457,503.555312219577,760.150689419714
"1770","SPT_RS02870",5809.23142367722,-0.100709426705704,0.222453082826672,-0.45272209953671,0.650748864100815,0.791950197708313,5014.97536778496,5440.36772041774,6353.34723190621,4926.92308951722,5705.93043969054,7413.84469274665
"1771","SPT_0096",6000.60184344679,0.114245934493589,0.255261242254624,0.447564751642274,0.654467346713584,0.79393144644354,6446.63164055641,6782.70951429398,5532.91642015802,4150.86888267099,5517.48335965745,7573.0012433439
"1772","SPT_0353",0.219916478152296,0.136223202349903,0.304168234751337,0.447854794769308,0.654257994880212,0.79393144644354,1.31949886891378,0,0,0,0,0
"1773","SPT_RS03010",41.0170335305127,-0.226164248056215,0.503256088546088,-0.449401911280609,0.653141752807764,0.79393144644354,48.3816251935051,39.2268203938117,24.0502395036804,51.0561978188313,21.6250747578959,61.7622435153518
"1774","SPT_1276",835.545865919524,0.093190749964001,0.207714612447279,0.448648021754627,0.653685586103471,0.79393144644354,764.429678057381,932.029252556966,897.119311297663,704.575529899872,908.253139831629,806.868283873634
"1775","SPT_2122",3088.08329674613,-0.109734419511746,0.245237555196855,-0.447461725116533,0.654541717341981,0.79393144644354,2478.45870877638,3488.44113762167,2929.59143841058,2700.87286461618,4096.40701842429,2834.72861262768
"1776","SPT_2148",38.1179721090124,-0.248965468379781,0.561577316922697,-0.443332486689542,0.657525261106133,0.797101287816162,54.0994536254648,7.84536407876234,37.6635826189712,56.1618176007145,27.8036675458662,45.1339471842955
"1777","SPT_2062",1526.12655378309,0.121934181619262,0.276055386853663,0.441701873703696,0.65870495363992,0.798082028805148,1595.27413251676,1440.40884486076,1758.39015239173,1184.50378939689,1136.86107298653,2041.32133054586
"1778","SPT_0631",15111.1571358436,0.0866565369656803,0.198135048759266,0.43736096923956,0.661849585434759,0.801441033431404,13460.6477947457,16803.2007838932,16476.6829505403,12299.4380545565,16404.1638520611,15222.8093792646
"1779","SPT_2235",1148.61233388507,-0.181041250560962,0.415165856837027,-0.436069699806817,0.662786160355343,0.802124004072543,1020.41245862665,861.813244052043,1321.40183839089,684.15305077234,701.270281434625,2302.62313003388
"1780","SPT_1773",240.519099189437,0.146386690885588,0.336379108922031,0.435183657376055,0.66342912398493,0.802451069628964,237.949629360784,258.897014599157,258.653519190525,250.175369312274,299.661750216558,137.777312457323
"1781","SPT_2112",283.230494513875,-0.134240582668443,0.308931090247835,-0.434532447222293,0.663901837853847,0.802571957832304,261.700609001232,287.924861690578,249.124179009821,413.555202332534,278.036675458662,209.041439590421
