"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.KAN90min.c","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.a","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.b","X.ExpOut.181128_NS500751_0106_AH52K7BGX9.Out.Rep.Bams.W19F.NDC90min.c"
"74","SPT_1774",282.91930750889,0.432047652407263,0.159524034425408,2.70835459975334,0.00676177334558219,0.173887225360039,309.387645623831,369.548574080806,352.809402462715,207.263405921759,167.791925438475,290.714891525755
"75","SPT_1861",813.68434635206,0.381519126132392,0.142332451417485,2.68047885308553,0.00735169093967913,0.186536904776125,979.923607622249,908.719101868406,965.702659304996,498.38147225461,724.219560532243,805.159676529856
"76","SPT_1955",27677.2591475258,0.334897266799888,0.125358781842597,2.67151021952648,0.00755107731472182,0.189075001709416,26092.0835739033,31360.7001209417,36971.862232861,22651.833454823,21785.8074955338,27201.2680070919
"77","SPT_0071",706.825854325727,-0.352848266168858,0.13232715774004,-2.66648413065773,0.007664922503487,0.189433084729036,699.945434015892,541.275018528379,566.907415922995,862.279055170675,790.842825044579,779.705377271841
"78","SPT_0222",2357.51610410076,0.316800004525764,0.120356986349613,2.63216963247587,0.00848414906693253,0.206991483004777,2495.09960596253,2944.60344449809,2533.74444802817,1955.55396732285,1871.62022713358,2344.47493165932
"79","SPT_RS02860",2092.93192227868,0.317926558289826,0.121652636700359,2.61339636289927,0.00896472678316583,0.215947785675501,2142.18594175284,2719.00203708657,2221.6438227727,1999.85454263437,1750.71133968527,1724.19384974031
"80","SPT_RS02880",20957.0999435704,-0.299280300729295,0.114868298763838,-2.60542119932147,0.00917613784258964,0.217346000316944,19618.4705934169,17969.4046392162,17828.9366842804,27205.2997314858,22597.6243112582,20522.8637017652
"81","SPT_0743",266.404299797289,0.43655424855612,0.16827732174167,2.59425479344325,0.00947962061287775,0.217346000316944,362.324695255285,329.142351857848,309.839026521744,104.422784662871,222.077548374453,270.619392111532
"82","SPT_1255",4661.21453404405,-0.258672813542831,0.0996518072069445,-2.59576640698197,0.00943802053190772,0.217346000316944,4209.08363514094,4173.62603711307,4223.15870212848,5047.10125870542,5352.06891582431,4962.24865535206
"83","SPT_2012",1697.91096638561,0.323648854764242,0.124599270221325,2.59751806081485,0.00939001819937872,0.217346000316944,1672.81076835395,1947.91662966511,2143.99559958112,1658.10724737407,1363.30939418761,1401.3261591518
"84","SPT_0351",131.958065848088,0.442110234337306,0.170903926072247,2.58689337628447,0.00968455548667582,0.219401298704096,125.872540234791,151.523333336094,229.929204596428,118.662255298717,66.6232645123358,99.1377971101654
"85","SPT_0436",1302.32044466158,0.417320743781629,0.162097260720684,2.57450830400355,0.010038267686027,0.22286419036349,1499.8830728912,1721.89432410544,1528.8407440051,549.010701182063,1064.73846803974,1449.55535774593
"86","SPT_RS03055",792.144554233673,0.370128447316656,0.14383079993322,2.57336013905578,0.0100716344567841,0.22286419036349,795.232123352509,1017.73172224076,954.394665636319,549.010701182063,604.544437241566,831.95367574882
"87","SPT_RS01190",96.5050614960585,0.430607231158237,0.169896881086881,2.53452110717698,0.0112601143277306,0.246298822593922,110.579614785704,117.009685187317,137.203656513278,77.5260067951616,61.6882078817924,75.0231978130981
"88","SPT_0091",278.45421335802,-0.380502625729417,0.152559630872144,-2.49412392750415,0.0126268450710237,0.255626448618703,234.099397259097,255.906074078736,195.251357345819,287.953739524886,333.116322561679,364.398389377905
"89","SPT_0541",368.893281840999,0.359294389199504,0.143987673560098,2.4953135245257,0.0125845881527806,0.255626448618703,442.318459142816,415.847370377946,427.442160675982,262.63912506116,351.622784926217,313.489790861874
"90","SPT_0877",11429.2501831467,-0.297138012201259,0.118663018615495,-2.50404899241674,0.0122781031192719,0.255626448618703,9966.28187728174,10100.7137594433,10134.2239258681,15217.2476195074,12259.9144344274,10897.1194823525
"91","SPT_1156",1565.29429781748,0.317422378974523,0.126851622551463,2.50231232829322,0.0123385022058298,0.255626448618703,1903.38102897095,1601.09655558472,1809.27898698828,1210.35500404691,1598.95834829606,1268.69586301793
"92","SPT_1417",7899.56828779624,-0.31545240568764,0.126239020262224,-2.49885023689491,0.0124596954136711,0.255626448618703,7861.74005971127,6622.83236123176,6139.48669584691,10217.6112629215,7352.00061535202,9203.738731714
"93","SPT_1695",733.251898705084,0.355974912343804,0.141911597533854,2.50842720771206,0.0121269951496571,0.255626448618703,761.117135812239,963.014962980506,820.206474101355,579.071805857738,756.297428630775,519.803584847894
"94","SPT_1733",750.673140279535,0.352879648931253,0.140675108537829,2.50847255494641,0.0121254387154591,0.255626448618703,769.351787977132,871.680064830694,959.671729348368,537.935557354183,777.271419310585,588.128282856251
"95","SPT_1460",4443.66292538745,0.299972256042712,0.120698311350858,2.48530615453868,0.0129440060977316,0.259288880041929,4142.0300389411,5660.23829639941,5139.86005553588,3645.30448277658,4117.07099403083,3957.47368464092
"96","SPT_1892",299.671991890094,0.385321246952112,0.155307626195941,2.48101948622908,0.0131007211023985,0.259694502686087,303.505751220336,398.169648155402,363.363529886814,256.310471445228,283.765756256245,192.916794376538
"97","SPT_0514",311.461926517717,0.387063853103669,0.156735457730756,2.46953598571535,0.0135288410591009,0.260054389247161,290.565583532648,407.850305562985,410.857103295256,262.63912506116,204.804850167551,292.054591486703
"98","SPT_RS05420",291.21842959037,0.408115529713955,0.165070054228185,2.47237775271944,0.0134217608937564,0.260054389247161,342.326254283403,312.306425931615,413.118702028991,136.066052742529,270.194350522251,273.298792033429
"99","SPT_1727",1118.95718256272,0.359339719143678,0.145437243208771,2.47075447262059,0.0134828353562994,0.260054389247161,1533.99806043147,1057.71704631556,1310.97339932193,904.997467078213,1158.50454402006,747.552578209085
"100","SPT_0736",625.726077709157,-0.351044007400782,0.142650836639229,-2.4608618895702,0.0138603709823671,0.263762859794445,404.674334960449,615.773990751958,561.630352210946,700.89838796442,759.998721103683,711.380679263484
"101","SPT_0019",166.68353033463,0.413780432179342,0.169043711192467,2.44777181748113,0.0143742656260172,0.266592958508752,195.27889419603,222.234222226271,204.29775228076,132.901725934563,169.025689596111,76.3628977740463
"102","SPT_0133",535.732941305355,0.330002791591601,0.134732587260371,2.44931681564067,0.0143127493059102,0.266592958508752,643.479247742341,610.302314825933,578.969275836251,498.38147225461,400.973351231651,482.291985941345
