Gene,Value,AveExpr,t,P.Value,padj,B
Rv0703,-0.98068013,13.36037794,-4.800331201,0.001271588,0.003922921,-1.122618362
Rv0282,-1.283665907,12.93616844,-4.799097561,0.001273629,0.003925983,-1.124324399
Rv2172c,-0.995578247,12.59421013,-4.798552994,0.00127453,0.003925983,-1.125077568
Rv1605,-2.280276493,11.0718901,-4.793286779,0.001283289,0.00394994,-1.132363288
Rv1106c,-1.662377048,9.266012921,-4.789822494,0.001289086,0.003964752,-1.137158272
Rv1209,-1.599708358,10.95630286,-4.785690579,0.001296038,0.00398309,-1.142879623
Rvnt03,1.273018137,13.67868689,4.784245673,0.001298478,0.003987546,-1.144880932
Rv2665,0.966501973,9.659663617,4.782963699,0.001300648,0.003991165,-1.146656823
Rv3362c,-2.181798737,9.964263152,-4.776982717,0.001310822,0.00401817,-1.154945311
Rv2657c,2.151399187,11.04403746,4.776363941,0.001311879,0.00401817,-1.155803112
Rv0985c,1.268358201,9.501090816,4.776034523,0.001312443,0.00401817,-1.156259802
Rv0299,-1.328563717,12.80075922,-4.773626016,0.001316569,0.004027742,-1.159599333
Rv2446c,-1.180583977,11.9300373,-4.771307391,0.001320556,0.004034789,-1.162815036
Rv0533c,-1.297594083,9.426421304,-4.771120586,0.001320877,0.004034789,-1.16307415
Rv1421,-1.29209613,11.43055011,-4.763924502,0.001333336,0.004069757,-1.173059585
Rv0576,-1.104518037,9.842113368,-4.762499202,0.001335819,0.004071957,-1.175038255
Rv1178,-1.503218157,12.82870921,-4.761904308,0.001336856,0.004071957,-1.175864203
Rv1041c,1.47657385,12.40312202,4.761770036,0.001337091,0.004071957,-1.176050633
Rv3702c,-1.686209846,10.38151159,-4.755896108,0.001347386,0.004100209,-1.184208848
Rv2612c,-1.920136938,10.98895448,-4.754970818,0.001349016,0.004102067,-1.185494427
Rv2273,-1.987258461,8.13549864,-4.7529771,0.001352534,0.004108857,-1.188264884
Rv3779,-1.018303561,8.556518785,-4.752144341,0.001354007,0.004108857,-1.189422252
Rv2822c,1.801873652,8.128487438,4.751972886,0.00135431,0.004108857,-1.189660552
Rv2528c,1.113304804,7.422541919,4.750080155,0.001357665,0.004115932,-1.192291491
Rv3356c,-1.118976987,10.27360322,-4.748258752,0.001360901,0.004121505,-1.194823773
Rv2046,-1.288546868,8.621795636,-4.74789398,0.00136155,0.004121505,-1.195330971
Rv2616,1.692825284,10.07660888,4.742200656,0.001371726,0.004149189,-1.203249772
Rv2247,-1.192382777,13.5011466,-4.740825666,0.001374196,0.004153539,-1.205162941
Rv2164c,-1.2723554,10.45952856,-4.738647401,0.001378119,0.004162271,-1.208194357
Rv0958,-1.243194047,10.87904994,-4.735947999,0.001382997,0.004173873,-1.211951977
Rv0383c,-1.092764463,12.80998734,-4.733858522,0.001386786,0.004182172,-1.214861298
Rv2245,-1.04765798,13.38070865,-4.729769378,0.001394233,0.004201484,-1.220556727
Rv1914c,1.0872434,9.576811397,4.725611948,0.00140185,0.004215668,-1.226349759
Rv3610c,-1.03103064,12.3650225,-4.725418693,0.001402205,0.004215668,-1.226619106
Rv0422c,-2.636997692,10.96787536,-4.724659828,0.0014036,0.004215668,-1.227676814
Rv3571,1.781030749,9.817376212,4.724057259,0.001404709,0.004215668,-1.228516734
Rv3178,2.707063216,8.116817702,4.724049871,0.001404723,0.004215668,-1.228527033
Rv2991,1.565648558,8.827292626,4.723778481,0.001405223,0.004215668,-1.228905342
Rv2936,-1.263701067,12.5441491,-4.717964249,0.001415978,0.004244771,-1.237012753
Rv3608c,-1.336290193,11.53766935,-4.714452812,0.001422517,0.0042612,-1.241911508
Rv0443,-0.99473977,11.14957643,-4.713277939,0.001424712,0.004262708,-1.243550957
Rv1966,1.10257297,7.77712556,4.712877346,0.001425461,0.004262708,-1.24411
Rv1533,-1.53337937,10.91375886,-4.712484394,0.001426197,0.004262708,-1.244658404
Rv1125,-1.156064065,9.022396369,-4.709088903,0.001432568,0.004275474,-1.249398079
Rv2317,1.015210536,7.285207891,4.709076546,0.001432592,0.004275474,-1.249415331
Rv1342c,1.638130922,10.64176507,4.705112261,0.00144007,0.004294609,-1.254951098
Rv3908,-1.088253873,10.27698635,-4.703876356,0.00144241,0.004298404,-1.256677394
